Token                          Frequency
-----------------------------  ---------
2008                                   2
total                                  1
greater                                1
2007                                   1
freedom                                1
tend                                   1
privileges                             1
its                                    1
richly                                 1
religion                               1
over                                   1
time                                   3
levels                                 1
laws                                   1
2011                                   1
regarded                               1
year                                   1
along                                  1
commission                             1
serious                                1
white-collar                           1
politicians                            1
under                                  1
regard                                 1
number                                 2
conditions                             2
median                                 1
dispatched                             1
crime                                  2
ethos                                  1
47–70                                  1
lines                                  1
low                                    1
review                                 2
shment                                 1
superior                               1
minimum                                2
behavior                               1
17                                     1
states                                 5
313                                    1
puni                                   1
training                               1
1995                                   1
figure                                 1
guidelines                             1
american                               1
do                                     1
thorough                               1
imprisonment                           2
violence                               1
pronounced                             1
a                                      6
living                                 1
jail                                   2
j                                      1
deterrence                             1
medium                                 2
seek                                   2
up                                     1
interethnic                            1
practice                               2
introduced                             1
public                                 1
to                                    19
100,000                                2
percent                                2
become                                 1
offenses                               3
half                                   1
by                                     2
transportation                         1
same                                   1
capital                                1
has                                    3
colonies                               1
confine                                1
after                                  1
decades                                1
medical                                1
whereby                                1
care                                   1
liberal                                1
l985                                   1
sy                                     1
critics                                1
had                                    1
be                                     2
virtually                              1
reduce                                 2
and                                   20
that                                   5
speech                                 1
particularly                           2
populations                            2
widely                                 1
maximum                                1
australia                              1
than                                   6
due                                    1
educational                            1
several                                1
examiners                              1
orders                                 1
large                                  1
penn                                   2
justice                                1
969                                    1
credited                               1
$10,000                                1
funded                                 1
about                                  1
classified                             1
four-fifths                            1
today                                  2
response                               1
england                                1
mitigation                             1
federal                                3
carrying                               1
henry                                  1
prisoners                              3
4.312                                  1
administrative                         1
all                                    1
too                                    1
law                                    1
2.4                                    1
ethnic                                 2
argue                                  1
five                                   2
at                                     2
as                                     6
males                                  1
2,310,984                              1
adult                                  1
persons                                1
general                                1
incarceration                          1
which                                  1
see                                    1
racial                                 3
an                                     1
there                                  3
manner                                 1
5for                                   1
high                                   1
increasingly                           1
overcrowding                           2
out                                    1
growth                                 3
they                                   1
william                                1
lower                                  1
for                                    4
nine                                   1
rights                                 1
otherwise                              1
liability                              1
court                                  1
people                                 4
of                                    18
are                                    8
480                                    1
income                                 1
criminal                               3
prevention                             1
0.8                                    1
groups                                 1
assuage                                1
drugs                                  1
sentencing                             2
outbreaks                              1
not                                    1
prisons                                8
record                                 1
rose                                   1
obtain                                 2
vocational                             1
fears                                  1
committed                              1
amoroso                                1
them                                   1
will                                   1
ought                                  1
some                                   1
different                              1
punishment                             1
america                                1
pressed                                1
institutions                           1
courts                                 1
inmates                                4
2000–2007                              1
most                                   2
gained                                 1
fueled                                 1
money                                  1
built                                  1
construction                           1
end                                    2
kept                                   1
usual                                  1
united                                 4
segregated                             1
british                                1
suggestions                            1
process                                1
represents                             1
prison                                 5
led                                    1
per                                    2
ten                                    1
last                                   1
tougher                                1
u.s                                    1
since                                  1
used                                   1
fraud                                  2
every                                  1
been                                   2
prior                                  2
almost                                 1
were                                   3
more                                   6
clashes                                1
penalty                                1
appropriate                            1
509                                    1
designated                             1
372                                    1
offenders                              4
tripled                                1
corporate                              1
violent                                3
clash                                  1
this                                   1
have                                   6
june                                   1
one                                    1
state                                  2
1,800                                  1
improve                                1
security                               8
from                                   3
was                                    3
selected                               1
order                                  1
rise                                   1
rule                                   1
offense                                1
less                                   1
drug                                   1
250                                    1
is                                     3
with                                   3
it                                     1
beginning                              1
campbell                               1
annual                                 1
incarcerated                           3
nearly                                 1
problem                                1
the                                   24
in                                    16
jails                                  1
manual                                 1
organizational                         2
continue                               1
largely                                1
stem                                   1
local                                  1
their                                  1
average                                1

Totals:                    274       505
