Token                          Frequency
-----------------------------  ---------
to                                     2
for                                    1
by                                     1
where                                  1
fraud                                  3
policies                               2
of                                     4
operation                              1
conduct                                1
are                                    1
accomplished                           1
rotation                               1
be                                     1
waiting                                1
mandatory                              1
means                                  2
job                                    1
and                                    1
that                                   1
generated                              1
will                                   1
several                                1
policy                                 1
this                                   1
surprise                               1
review                                 1
audits                                 1
enforcement                            1
can                                    1
aggressively                           1
use                                    1
from                                   1
analytical                             1
fraudulent                             1
instances                              1
possible                               2
organization                           1
questioning                            1
attention                              1
top                                    1
proactive                              3
a                                      1
come                                   1
the                                    4
vacations                              1
seek                                   1
including                              1
instead                                1
their                                  1
assessment                             1
out                                    1

Totals:                     51        65
