Token                          Frequency
-----------------------------  ---------
using                                  1
low-level                              1
test                                   3
for                                    5
no                                     1
parts                                  2
substitution                           4
technical                              1
specially                              1
failing                                1
inferior/substandard                   1
missing                                1
of                                    18
certificate                            1
are                                    3
equivalents                            1
materials                              3
scheme                                 1
movement                               1
only                                   1
2011                                   1
false                                  1
quantity                               2
unannounced                            1
commercial                             1
supplier                               1
these                                  1
creating                               1
others                                 1
after-the-fact                         1
or                                     6
done                                   1
number                                 2
meet                                   2
include                                1
frauds                                 1
not                                    1
falsification                          1
quality                                3
lot                                    1
lines                                  1
own                                    1
delivery                               5
examples                               1
outside                                1
review                                 2
might                                  1
assurance                              1
hardware                               1
assistance                             1
examiner                               1
date                                   1
domestically                           1
tests                                  1
consider                               1
surplus                                1
products                               2
tags                                   1
files                                  1
•                                     21
flags                                  1
schemes                                2
vendor                                 1
signed                                 1
a                                      2
return                                 1
surreptitious                          1
should                                 1
material                               2
employ                                 1
specifications                         3
indications                            2
product                                7
either                                 1
new                                    1
red                                    1
interview                              1
testing                                3
1.2007                                 1
to                                     8
transactions                           1
both                                   1
noncompliance                          3
submission                             1
substitutions                          1
uninspected                            1
by                                     2
compliance                             2
fraud                                  3
procurement                            1
counterfeit                            1
used                                   1
inspection                             3
procedures                             1
descriptions                           1
been                                   1
conduct                                2
personnel                              3
his                                    1
results                                2
varying                                1
request                                1
returns                                1
concerning                             1
financial                              1
reports                                2
authorizations                         1
contractor                             1
contract                               4
manufactured                           1
samples                                1
and                                   11
owned                                  1
that                                   3
detection                              1
identical                              1
responsibilities                       1
company                                1
involving                              1
examiners                              1
areas                                  1
passing                                1
carefully                              1
minority                               1
have                                   2
highest                                2
goods                                  2
from                                   1
routine                                1
reshipments                            1
tested                                 2
following                              2
order                                  2
inspections                            1
statements                             1
types                                  1
employee                               1
sample                                 1
facilities                             1
certificates                           1
detect                                 1
profit                                 1
is                                     2
with                                   2
correspondence                         1
look-alike                             1
percentage                             1
reworked                               1
audit                                  1
as                                     2
laboratory                             1
potential                              1
list                                   1
the                                   10
in                                     3
profits                                1
manual                                 1
certifications                         2
off                                    1
increase                               1
high                                   1

Totals:                    161       298
