Token                          Frequency
-----------------------------  ---------
they                                   1
americans                              1
manager                                1
for                                    1
criminality                            1
college                                1
of                                     6
authors                                1
are                                    3
weisburd                               3
social                                 2
prevention                             1
2011                                   1
only                                   2
educated                               1
anti-trust                             1
white-collar                           3
itself                                 1
rom                                    1
or                                     1
he                                     1
wide                                   1
3                                      1
not                                    3
ssembling                              1
offender                               3
crime                                  2
5                                      2
4                                      1
then                                   1
david                                  1
own                                    2
array                                  1
position                               2
might                                  1
home                                   1
courts                                 1
white-collar”—f                        1
19                                     1
most                                   1
difficult                              1
violations                             1
typical                                1
1991                                   1
slightly                               1
promoted                               1
empowers                               1
highly                                 1
ninth-grade                            1
embezzlement                           1
rather                                 1
do                                     1
modera                                 1
4.407                                  1
classes                                1
citizen                                1
yale                                   1
a                                      9
haven                                  1
factor                                 1
deterrence                             1
up                                     1
diploma                                1
point                                  1
new                                    1
degree                                 1
p                                      2
fall                                   1
profiles                               1
45.3                                   1
et                                     1
public                                 1
to                                     3
but                                    2
78                                     1
percent                                6
least                                  1
versus                                 2
supposed                               1
atypical                               1
te                                     1
by                                     2
impossible                             1
fraud                                  2
middle                                 1
has                                    1
doesn’t                                1
who                                    2
more                                   1
his                                    3
commit                                 1
crimes                                 2
bank                                   1
credit                                 1
homes                                  1
key                                    1
be                                     1
69                                     1
so                                     1
status                                 4
majority                               1
likely                                 1
means                                  1
white                                  1
behind                                 1
offenders                              4
and                                    6
that                                   1
corporate                              1
company                                2
than                                   2
called                                 1
examiners                              1
securities                             1
conferred                              1
have                                   1
home—the                               1
owning                                 1
one                                    2
55                                     1
from                                   1
education                              1
was                                    1
while                                  1
category—                              1
federal                                1
24.7                                   1
61                                     1
xiv                                    1
population                             1
defendants                             1
profile                                1
with                                   2
is                                     3
at                                     1
males                                  1
as                                     3
the                                   15
fraud—makes                            1
in                                     4
general                                2
manual                                 1
al                                     1
opportunity                            1
school                                 1
an                                     1
inside                                 1
high                                   1
their                                  1
average                                1
out                                    1

Totals:                    151       233
