Token                          Frequency
-----------------------------  ---------
2009                                   1
they                                   2
employment                             1
for                                    6
no                                     1
concern                                1
of                                    10
although                               1
are                                    3
reinstatement                          1
interest                               1
furtherance                            1
report                                 1
false                                  1
on                                     3
2011                                   1
government                             3
discharge                              1
2.341                                  1
substantial                            1
these                                  2
preventing                             1
plus                                   1
others                                 1
how                                    1
adequate                               1
or                                     6
done                                   1
under                                  3
available                              1
many                                   1
blowing                                1
2                                      1
damages                                1
31                                     1
will                                   1
contractors                            1
some                                   1
might                                  1
fera                                   1
unintended                             1
acts                                   1
assistance                             1
decision                               1
costs                                  1
relief                                 1
20                                     1
title                                  1
times                                  1
initiation                             1
whistleblower                          3
may                                    1
cases                                  1
signed                                 1
a                                      3
back                                   1
taking                                 2
seek                                   1
including                              4
part                                   1
fear                                   2
filed                                  2
to                                    10
behalf                                 1
attorneys                              1
cause                                  1
congress                               1
provide                                1
reluctant                              1
award                                  1
by                                     2
fraud                                  3
same                                   1
related                                1
u.s.c                                  1
takes                                  1
unwilling                              1
provisions                             1
any                                    4
action                                 5
litigation                             1
investigation                          1
seniority                              1
required                               1
protections                            3
be                                     2
protection                             1
prohibits                              1
claims                                 2
contractor                             1
status                                 1
and                                    4
that                                   1
retaliation                            3
often                                  1
whole                                  1
employers                              1
against                                5
examiners                              1
even                                   1
this                                   3
make                                   1
enforcement                            1
firing                                 1
other                                  2
3730(h                                 1
can                                    2
have                                   1
justifiable                            2
agents                                 1
testimony                              1
employer                               5
from                                   2
enhanced                               1
add                                    1
adverse                                2
was                                    1
because                                1
if                                     2
pay                                    1
making                                 1
implement                              1
employee                               9
receive                                1
all                                    1
law                                    3
is                                     1
matter                                 1
obviously                              1
into                                   1
at                                     1
harassment                             1
fees                                   1
reimbursement                          1
the                                   22
in                                     3
recovery                               1
demotion                               1
section                                3
whistle                                1
manual                                 1
whistleblowers                         3
two                                    1
which                                  2
effect                                 1
address                                1
there                                  1
an                                     7
suit                                   1
provided                               1
lawful                                 1
necessary                              1
special                                1
claim                                  1
negative                               1
act                                    2
their                                  1
also                                   1
employees                              3

Totals:                    159       289
