Token                          Frequency
-----------------------------  ---------
accessing                              1
transactions                           1
chapters                               1
filings                                1
for                                    1
fraud                                  1
sources                                1
online                                 1
tracing                                1
course                                 1
of                                     4
real                                   1
personal                               1
more                                   1
deal                                   1
illicit                                1
2011                                   1
useful                                 1
investigation                          1
information                            4
is                                     2
matter                                 1
a                                      2
property                               1
the                                    1
in                                     1
and                                    2
3.901                                  1
manual                                 1
standards                              1
that                                   1
record                                 1
particularly                           1
great                                  1
see                                    1
examiners                              1
reporting                              1
records                                1
public                                 2

Totals:                     39        49
