Token                          Frequency
-----------------------------  ---------
1.735                                  1
understand                             1
discussion                             1
1.733                                  1
1.734                                  1
inordinate                             1
competitors                            1
continued                              1
bribery                                4
over                                   1
time                                   1
resell                                 1
nature                                 1
scheme                                11
created                                1
interest                              21
2011                                   3
fraudster                             10
overbilling                            2
these                                  1
purchases                              2
distinction                            2
asset                                  2
how                                    1
answer                                 1
companies                              2
number                                 1
he                                     7
ownership                              1
simply                                 1
divert                                 1
discuss                                1
corruption                             3
own                                    3
conflict                               8
purc                                   1
we                                     3
owns                                   1
harm                                   1
exerts                                 1
use                                    1
run                                    1
fraudulent                             5
de                                     1
personal                               1
division                               1
easy                                   1
lengthy                                1
originates                             1
usually                                1
do                                     2
ignore                                 1
ensure                                 1
direct                                 2
look                                   1
a                                     30
traditional                            1
distinguishing                         1
anticlimactic                          1
billing                                7
either                                 1
expense                                1
fact                                   1
what                                   2
inflate                                1
vendors                                1
methods                                1
behalf                                 1
to                                    23
transactions                           3
detail                                 1
change                                 1
entity                                 1
tool                                   1
by                                     3
outright                               1
same                                   1
must                                   2
has                                    6
hasing                                 1
seeks                                  1
necessarily                            1
after                                  2
would                                  2
any                                    2
bank                                   1
paying                                 1
invoices                               1
had                                    1
be                                     5
financial                              5
so                                     2
condition                              1
victim                                 3
relation                               1
disbursements                          2
cost                                   1
much                                   1
economic                               1
helpful                                1
and                                   15
that                                  11
processed                              1
items                                  3
better                                 1
than                                   3
misappropriations                      1
doing                                  1
cash                                   1
several                                1
examiners                              3
whom                                   1
distinguish                            1
case                                   1
example                                2
thumb                                  1
does                                   2
remember                               1
generate                               1
can                                    3
bill                                   1
bilk                                   1
classified                             5
employer                               9
about                                  1
purchase                               2
exorbitant                             1
business                               3
bid-rigging                            1
hand                                   1
name                                   1
question                               1
employee                               7
drawn                                  1
all                                    1
conflicts                              7
at                                     4
as                                     7
inflated                               1
win                                    1
therefore                              2
categorized                            1
which                                  4
see                                    1
an                                     8
there                                  1
box                                    1
certain                                1
somewhat                               1
our                                    1
why                                    2
employees                              1
out                                    1
very                                   1
shell                                  7
manager                                1
employment                             1
for                                    3
no                                     3
whether                                1
third-party                            1
avoid                                  1
open                                   1
of                                    31
are                                    9
rotation                               1
briefly                                1
unsubstantiated                        1
mechanics                              1
on                                     3
only                                   1
false                                  2
misappropriation                       1
loyalty                                1
sole                                   2
assists                                1
or                                     6
not                                    5
now                                    1
then                                   3
$150,000                               1
will                                   3
some                                   2
position                               1
might                                  2
easily                                 1
influence                              2
kind                                   1
short                                  1
disbursement                           3
engage                                 1
words                                  1
probably                               1
rather                                 1
contracts                              1
mind                                   1
similar                                1
submits                                1
post                                   1
cases                                  1
schemes                               12
vendor                                 8
established                            1
true                                   1
access                                 1
point                                  1
frauded                                1
waivers                                2
account                                1
brother                                1
overbill                               1
falsifies                              1
stated                                 1
but                                    1
cause                                  1
sometimes                              1
buy                                    1
transaction                            1
invoice                                1
defrauding                             1
little                                 1
since                                  1
fraud                                  4
every                                  1
used                                   3
though                                 1
more                                   1
his                                   18
when                                   1
fictitious                             1
wonder                                 1
work                                   2
contract                               1
kinds                                  1
here                                   1
bids                                   3
relative                               1
depth                                  1
owned                                  1
market                                 1
company                               20
causes                                 1
this                                   6
bidding                                1
friend                                 1
other                                  5
have                                   4
interests                              1
one                                    2
way                                    2
superintendent                         3
purpose                                2
from                                   2
was                                    3
while                                  1
because                                2
real                                   1
order                                  2
if                                     6
rule                                   1
mean                                   1
purchasing                             6
tailor                                 1
perfect                                1
fraudsters                             2
bid                                    4
find                                   1
between                                3
office                                 1
perpetrator                            1
dealt                                  1
is                                    16
with                                   3
those                                  1
it                                     4
engages                                1
rig                                    2
the                                   67
in                                    28
know                                   1
section                                2
manual                                 3
wife                                   1
hidden                                 2
prices                                 4
competitive                            1
uses                                   1
flowchart                              1
discussed                              2
undisclosed                            3
their                                  1
also                                   2
lie                                    1

Totals:                    293       828
