Token                          Frequency
-----------------------------  ---------
summary                                1
detail                                 1
for                                    1
versus                                 1
receipt                                2
by                                     1
purchase                               1
analysis                               1
order                                  1
dates                                  2
times                                  1
performance                            1
purchasing                             1
types                                  1
isolate                                1
•                                      4
vendor                                 1
compare                                1
shipments                              1
track                                  1
in                                     1
and                                    2
summarizing                            1
analyze                                1
scheduled                              1
amounts                                1
late                                   1
item                                   1
actual                                 1
delivery                               1

Totals:                     30        36
