Token                          Frequency
-----------------------------  ---------
communities                            1
recruited                              1
passes                                 1
participants                           1
recipient                              1
passengers                             2
time                                   1
over                                   2
recruit                                1
hide                                   1
levels                                 1
seat                                   2
2011                                   1
along                                  1
something                              1
elements                               1
these                                  3
meddle                                 1
scanning                               1
how                                    1
churches                               1
shown                                  1
prey                                   1
number                                 1
capitalize                             1
frauds                                 1
pure                                   4
price                                  1
authorities                            1
isn’t                                  1
pyramids                               1
bottom                                 1
each                                   2
mailed                                 1
african-american                       1
climb                                  1
cochairman                             1
use                                    3
15                                     2
six                                    1
leads                                  1
american                               1
—                                      2
usually                                2
best                                   1
depending                              1
gold                                   1
parachute                              1
may                                    2
phenomenal                             1
organizations                          2
a                                     19
jazz                                   1
copilot                                2
comb                                   1
affinity                               3
up                                     4
new                                    3
what                                   1
$50                                    1
keep                                   1
synagogues                             1
to                                    14
transactions                           1
percent                                1
reluctant                              1
player                                 1
become                                 2
moves                                  2
stupid                                 1
half                                   1
good                                   1
by                                     3
consumer                               1
has                                    2
who                                    2
amount                                 1
takes                                  2
affairs                                1
splits                                 1
everybody                              2
paying                                 2
be                                     1
financial                              3
hook                                   1
vice-presidents                        1
schemes—every                          1
and                                   12
that                                   1
often                                  1
cash                                   4
examiners                              1
example                                1
internet                               1
religious                              3
large                                  1
enforcement                            1
affinities                             1
can                                    1
existing                               1
sum                                    1
through                                1
business                               1
$5                                     1
name                                   1
pilot                                  2
booked                                 1
above                                  1
four                                   4
tries                                  1
types                                  1
attention                              1
monitored                              1
members                                1
top                                    1
law                                    1
ladder                                 1
makes                                  1
community                              1
at                                     3
as                                     6
game                                   3
legitimacy                             1
general                                1
positions                              1
great                                  1
racial                                 1
spreads                                1
there                                  1
off                                    1
approach                               2
latest                                 1
out                                    1
very                                   1
they                                   3
person                                 1
for                                    4
everything                             1
people                                 2
bother                                 1
filled                                 1
expect                                 1
operation                              1
of                                    13
cover                                  1
help                                   1
stock                                  1
are                                    9
social                                 1
initial                                1
on                                     7
everyone                               2
endorsement                            1
central                                1
fully                                  2
groups                                 2
exchange                               1
move                                   1
games                                  4
services                               1
others                                 1
or                                     6
airplane                               2
stripes                                1
like                                   2
varies                                 1
not                                    1
predicated                             1
sitting                                1
them                                   2
then                                   1
associations                           1
will                                   1
$2,000                                 2
years                                  1
some                                   2
put                                    1
don’t                                  2
anxiously                              1
crew                                   3
constantly                             1
cultural                               1
launch                                 1
promoters—an                           1
most                                   2
kind                                   1
version                                1
looking                                1
typical                                1
paid                                   1
endless                                2
money                                  2
initiation                             1
probability                            1
fertile                                1
outrageous                             1
products                               1
airline                                1
just                                   2
networking                             2
95                                     1
schemes                                2
93                                     1
pyramid                                5
establish                              1
really                                 1
flight                                 2
plane                                  2
pilots                                 1
chain                                  2
players                                4
cut                                    1
but                                    2
last                                   1
buy                                    1
transaction                            1
sometimes                              1
investors                              2
variation                              1
every                                  1
studies                                1
fraud                                  3
eight                                  2
been                                   1
clergyperson                           1
earliest                               1
fictitious                             1
when                                   1
three                                  1
focused                                1
yielded                                1
grounds                                1
financial-sounding                     1
administered                           1
sure                                   1
letter                                 4
professional                           1
targeted                               1
ranks                                  2
corporate                              1
market                                 2
slots                                  1
popular                                1
hunting                                1
called                                 2
known                                  3
pitch                                  1
this                                   1
golden                                 1
$1,500                                 1
chairman                               2
scale                                  1
presidents                             1
other                                  1
$200                                   1
have                                   2
gaming                                 1
way                                    1
from                                   3
$100                                   1
pretty                                 1
network                                1
sends                                  1
playing                                1
real                                   1
another                                2
fresh                                  1
below                                  1
seats                                  1
is                                     6
those                                  1
with                                   4
it                                     1
recruits                               1
gets                                   1
chains                                 3
fill                                   1
into                                   1
offer                                  1
metaphor                               1
the                                   33
in                                     5
buys                                   1
profits                                1
manual                                 1
lose                                   2
two                                    2
riches                                 1
opportunity                            1
1.1745                                 1
fill-and-split                         4
administrator                          2
instead                                1
their                                  8
also                                   1
average                                1
scams                                  1

Totals:                    297       537
