Token                          Frequency
-----------------------------  ---------
to                                     6
last                                   1
for                                    1
variation                              1
by                                     2
accounting                             1
related                                1
amount                                 1
witnesses                              1
of                                     5
more                                   1
are                                    1
toward                                 1
facts                                  1
proceed                                1
year                                   1
quantity                               1
working                                1
be                                     1
respondent                             1
information                            3
unable                                 1
or                                     1
questions                              1
matters                                1
and                                    3
that                                   1
involved                               1
amounts                                1
frame                                  1
logical                                1
items                                  2
than                                   1
then                                   1
doing                                  1
:                                      1
areas                                  1
previously                             1
example                                1
known                                  3
some                                   1
this                                   1
efficient                              1
can                                    1
common                                 1
backward                               1
specific                               2
before                                 1
comparing                              1
next                                   1
from                                   1
seeking                                1
continuation                           1
was                                    1
jog                                    1
critical                               1
reach                                  1
figure                                 1
details                                1
numbers                                1
especially                             1
rule                                   1
questioning                            1
money                                  1
best                                   1
question                               2
unfortunately                          1
is                                     5
with                                   3
it                                     2
beginning                              1
a                                      3
recount                                1
sequences                              1
as                                     2
the                                   10
unknown                                2
figures                                1
in                                     1
should                                 1
memory                                 1
fraud-related                          1
general                                3
seek                                   1
interviewer                            2
recall                                 1
an                                     1
method                                 1

Totals:                     88       130
