Token                          Frequency
-----------------------------  ---------
using                                  1
2007                                   1
handle                                 1
e-mail                                 3
hopefully                              1
time                                   2
top-level                              1
forward                                1
e-mails                                2
advanced                               1
2011                                   1
instant                                1
these                                  4
registrars                             1
differentiate                          1
companies                              1
number                                 1
downed                                 1
few                                    1
system                                 2
simply                                 1
attacks                                1
ways                                   1
computer                               1
typically                              1
complex                                1
unique                                 2
fails                                  1
before                                 1
next                                   1
use                                    2
phishers                               5
fraudulent                             1
difficult                              1
stealthier                             1
country-code                           1
life                                   1
numbers                                1
—                                      5
proxy                                  2
domain                                 5
best                                   1
interesting                            1
targets                                1
install                                1
site                                   2
may                                    1
keys                                   1
a                                     11
dns                                    1
implemented                            1
web                                    2
upwards                                1
up                                     1
string                                 1
banks                                  1
to                                    19
transactions                           1
provide                                1
least                                  1
change                                 1
half                                   1
by                                     1
architecture                           1
identified                             1
has                                    1
sender                                 1
whereby                                1
estimated                              1
unlike                                 1
sees                                   1
connections                            2
automating                             1
key                                    1
be                                     1
financial                              2
likely                                 1
url                                    3
and                                   12
that                                   7
particularly                           1
names                                  3
often                                  1
examiners                              1
spam                                   1
treasury                               1
fast                                   1
internet                               3
make                                   2
span                                   1
attempt                                1
flux                                   1
set                                    1
indication                             1
legitimate                             1
through                                1
volumes                                1
reach                                  1
elaborate                              1
servers                                5
name                                   2
implement                              1
lengthen                               1
multiple                               6
all                                    1
institution                            1
sites                                  2
accounts                               1
urls                                   2
at                                     5
as                                     1
compromised                            1
therefore                              1
message                                1
phish                                  4
which                                  1
isps                                   1
authentication                         1
regional                               1
registered                             1
there                                  2
an                                     4
server                                 1
they                                   5
for                                    3
domains                                2
rock                                   9
roughly                                1
alphanumeric                           1
enticing                               1
of                                    11
spf                                    2
are                                    8
1.1833                                 1
social                                 1
on                                     2
grasp                                  1
information                            1
services                               2
botnets                                1
or                                     3
national                               1
done                                   1
random                                 1
measured                               1
like                                   1
include                                1
huge                                   1
them                                   1
alphabet                               1
addresses                              1
some                                   1
europe                                 1
america                                1
don’t                                  1
click                                  1
most                                   3
effective                              1
looking                                1
switches                               1
brands                                 1
end                                    1
100                                    1
note                                   1
networking                             1
bogus                                  1
already                                1
figures                                2
framework                              1
folder                                 1
process                                1
sending                                1
point                                  1
attack                                 1
based                                  1
users                                  3
send                                   1
technology                             1
location                               1
u.s                                    1
fraud                                  2
type                                   1
used                                   2
been                                   1
more                                   2
toward                                 1
compromise                             1
combat                                 1
cycle                                  1
throughout                             1
such                                   1
damage                                 1
targeted                               1
phishing                               7
amounts                                1
broadened                              1
contain                                1
policy                                 1
even                                   1
known                                  1
management                             1
characters                             1
scope                                  1
targeting                              1
have                                   3
one                                    5
from                                   2
online                                 1
real                                   1
rejecting                              1
pool                                   1
extent                                 1
able                                   1
automatically                          1
if                                     1
blocked                                1
fraudsters                             1
lists                                  1
less                                   1
is                                     5
with                                   2
it                                     4
your                                   1
the                                   16
in                                     2
brokerages                             1
ip                                     2
manual                                 1
massive                                1
latin                                  1
instead                                1
their                                  1
also                                   1

Totals:                    233       418
