Token                          Frequency
-----------------------------  ---------
guide                                  5
to                                     4
for                                    1
by                                     1
contains                               1
where                                  1
inclusive                              1
of                                     5
retrospective                          1
refer                                  1
periodical                             2
journals                               1
such                                   1
catalog                                1
literature                             1
number                                 1
available                              1
and                                    4
1982                                   1
reader                                 2
periodicals                            1
graphic                                1
subject                                1
date                                   1
version                                1
author                                 1
1890                                   1
title                                  1
possible                               1
full                                   1
entries                                1
starting                               1
published                              1
portraits                              1
all                                    1
scholarly                              1
is                                     2
articles                               2
a                                      2
pages                                  1
as                                     1
dictionary                             1
the                                    8
in                                     2
reference                              1
material                               1
electronic                             1
publication                            1
article                                2
there                                  1
an                                     1
volume                                 1

Totals:                     52        80
