Token                          Frequency
-----------------------------  ---------
employment                             1
for                                    2
no                                     1
determine                              1
incurred                               1
whether                                1
of                                    13
delinquent                             1
income                                 2
spouse                                 3
governmental                           1
2011                                   1
on                                     3
salary                                 1
substantial                            1
these                                  1
purchases                              1
listed                                 1
defenses                               2
calculations                           1
or                                     5
extra                                  1
deposited                              1
companies                              1
available                              1
loan                                   1
borrowed                               1
obtain                                 1
funds                                  3
earlier                                1
covers                                 1
penuriously                            1
bankruptcy                             1
rebutted                               2
records                                1
lender                                 2
might                                  2
withdrawals                            1
made                                   1
proof                                  1
alleged                                2
examiner                               1
private                                1
significant                            1
illicit                                1
dates                                  1
money                                  1
debts                                  1
do                                     1
lived                                  1
held                                   1
•                                      3
schemes                                1
analysis—if                            1
absence                                2
a                                      5
incapable                              1
loans                                  2
history                                1
gains                                  1
documentation                          1
account                                1
hoard                                  1
down                                   1
filed                                  1
methods                                1
to                                     5
transactions                           1
basis                                  1
tool                                   1
by                                     2
interviews                             2
fraud                                  3
used                                   2
must                                   2
sources                                2
related                                1
prior                                  1
installment                            1
amount                                 1
were                                   1
commit                                 1
family                                 1
any                                    3
obtai                                  1
supposedly                             1
accumulated                            1
investigation                          1
bank                                   1
credit                                 1
had                                    2
be                                     4
financial                              3
rebut                                  1
joint                                  1
claims                                 2
such                                   1
so                                     1
means                                  1
agencies                               1
places                                 1
lent                                   1
period                                 1
and                                    8
that                                   5
assets                                 1
gotten                                 1
amounts                                2
often                                  1
against                                1
cash                                   4
examiners                              1
3.847                                  1
circumstantial                         1
example                                1
relatives                              1
included                               1
this                                   1
large                                  1
other                                  5
can                                    1
legitimate                             1
evidence                               1
excess                                 1
purchase                               1
through                                2
from                                   4
documenting                            1
was                                    2
tracing                                1
hand                                   1
indirect                               1
bonuses                                1
met                                    1
following                              2
ned—is                                 1
if                                     1
statements                             1
showing                                3
relevant                               1
major                                  1
profile                                1
defense                                1
is                                     1
with                                   2
separate                               1
beginning                              1
accounts                               2
ill-                                   1
poor                                   1
at                                     1
as                                     2
generating                             1
the                                   22
came                                   2
in                                     4
section                                1
reflecting                             1
rebutting                              1
net-worth                              1
manual                                 1
source                                 2
pin                                    1
target                                 2
claimed                                1
rating                                 1
jointly                                1

Totals:                    167       281
