Token                          Frequency
-----------------------------  ---------
to                                     2
wish                                   2
remedial                               2
fraud                                  1
of                                     2
optional                               1
action                                 1
2011                                   1
investigation                          1
be                                     1
such                                   1
hotline                                1
or                                     3
include                                1
follow-up                              1
discuss                                1
examiners                              1
recommendations                        2
reporting                              1
measures                               2
this                                   2
review                                 1
introduction                           1
specific                               1
increased                              1
state                                  1
recommended                            1
security                               1
instances                              1
controls                               1
document                               1
if                                     1
do                                     1
internal                               1
separate                               1
is                                     2
may                                    1
a                                      3
as                                     1
3.916                                  1
you                                    3
in                                     2
should                                 1
section                                2
manual                                 1
standards                              1
which                                  1
including                              1
what                                   1
there                                  1
necessary                              1

Totals:                     51        67
