Token                          Frequency
-----------------------------  ---------
to                                     5
everything                             1
took                                   1
fraud                                  1
people                                 1
of                                     5
time                                   2
event                                  1
describe                               3
occurrence                             1
weather                                1
2011                                   1
investigation                          1
place                                  1
objects                                1
asking                                 1
objective                              1
so                                     1
did                                    1
eyewitness                             1
he                                     2
like                                   1
and                                    3
that                                   1
environment                            1
3.282                                  1
often                                  1
will                                   1
scene                                  1
examiners                              1
day                                    1
ask                                    2
this                                   3
incident                               2
accomplish                             1
events                                 1
state                                  1
theory                                 1
occurred                               1
witness                                3
was                                    1
surroundings                           1
unfolding                              1
reconstruct                            1
and/or                                 1
look                                   2
feel                                   1
is                                     1
application                            1
circumstances                          1
important                              1
at                                     1
return                                 1
helps                                  1
the                                   21
in                                     5
should                                 2
manual                                 1
including                              1
which                                  2
mentally                               1
interviewer                            2
emotional                              1
what                                   1
interview                              1
recall                                 1
context                                1
vividly                                1
first                                  2
step                                   3

Totals:                     70       121
