Token                          Frequency
-----------------------------  ---------
to                                     1
external                               1
exception                              1
accounting                             2
restraints                             2
fraud                                  1
capital                                1
production                             1
procedures                             1
avoid                                  1
personnel                              1
working                                1
financial                              4
such                                   1
obstacles                              1
or                                     1
operational                            1
prepare                                1
clauses                                1
reduce                                 1
and                                    1
tempt                                  1
statement                              1
not                                    1
that                                   4
encourage                              1
contain                                1
eliminate                              1
might                                  1
remove                                 1
situational                            1
excess                                 1
block                                  1
fraudulent                             1
effective                              1
setting                                1
clear                                  1
performance                            1
statements                             1
unachievable                           1
do                                     1
•                                      4
uniform                                1
establish                              1
as                                     1
the                                    1
pressures                              2
goals                                  1
inventory                              1
volume                                 1

Totals:                     50        62
