Token                          Frequency
-----------------------------  ---------
to                                     1
information                            1
held                                   1
maintain                               1
agency                                 1
agencies                               2
by                                     1
city                                   1
that                                   1
regulatory                             3
county                                 1
records                                1
similar                                1

Totals:                     13        16
