Token                          Frequency
-----------------------------  ---------
to                                     1
expert                                 2
can                                    1
test                                   1
specific                               1
one                                    1
by                                     1
of                                     2
met                                    1
following                              1
are                                    1
full                                   1
facts                                  1
if                                     1
on                                     2
required                               1
all                                    1
defense                                1
•                                      3
is                                     4
circumstances                          1
or                                     2
a                                      2
the                                    4
accountant                             2
and                                    1
reliance                               3
conditions                             1
which                                  1
an                                     2
determined                             1
disclosure                             1
assert                                 1
attorney                               2
qualified                              1

Totals:                     35        53
