Token                          Frequency
-----------------------------  ---------
uncertainties                          1
accounting                             1
its                                    2
party                                  1
omitted                                1
incorporate                            1
over                                   1
nature                                 1
refer                                  1
laws                                   1
2011                                   2
government                             2
responsibility                         1
these                                  1
deficiencies                           2
adequate                               1
3                                      2
2                                      3
corrective                             1
1                                      3
recommendations                        2
examples                               1
audits                                 3
reasonably                             1
assessing                              1
acts                                   2
accordance                             2
events                                 1
advise                                 1
use                                    1
reasons                                1
instances                              1
authority                              1
critical                               1
significant                            3
current                                1
agreements                             3
emphasis                               1
materially                             1
timeliness                             1
•                                     12
may                                    4
illegal                                2
a                                      4
cannot                                 2
taking                                 1
material                               3
standards                              5
either                                 2
new                                    1
nongovernment                          1
testing                                1
public                                 1
part                                   1
actions                                2
expression                             1
to                                    21
transactions                           2
auditor                                3
consistently                           1
entity                                 2
regulations                            1
become                                 1
by                                     1
perform                                1
aware                                  1
requiring                              1
must                                   4
who                                    3
auditors                              23
any                                    5
gagas                                  3
taken                                  2
opinion                                4
overall                                1
be                                     6
presented                              1
financial                             17
control                                3
reports                                3
submit                                 1
relation                               1
period                                 2
charged                                1
and                                   24
that                                   8
associated                             1
containing                             1
examiners                              2
previously                             1
require                                1
disclosed                              1
governance                             1
does                                   1
update                                 1
misstated                              2
indication                             1
misstatements                          3
about                                  1
weaknesses                             1
understanding                          1
well                                   2
findings                               2
following                              1
organization                           4
generally                              2
name                                   1
statements                            11
unusual                                1
emphasize                              1
four                                   1
all                                    2
reached                                1
law                                    1
separate                               5
audit                                  8
as                                     5
principles                             1
assertion                              1
planned                                1
general                                1
reissue                                2
which                                  1
prohibited                             1
views                                  1
take                                   1
an                                     7
certain                                1
specifically                           1
they                                   1
paragraph                              1
reason                                 1
for                                    8
prescribe                              1
otherwise                              1
whether                                1
integral                               1
sufficient                             2
of                                    25
abuse                                  2
are                                    4
correct                                1
accepted                               2
describe                               1
report                                19
on                                     4
occurrence                             1
restatements                           1
information                            6
others                                 1
problems                               1
disclose                               1
or                                    12
identify                               1
steps                                  1
matters                                1
regarding                              2
include                                2
not                                    2
present                                1
performed                              2
disclosure                             1
oversight                              1
reporting                              5
some                                   1
outside                                1
appropriateness                        1
evaluate                               1
additionally                           1
pertinent                              1
preceding                              1
according                              1
character                              1
violations                             2
restate                                1
unless                                 1
tests                                  1
contracts                              1
internal                               3
authorized                             1
rely                                   1
responsible                            2
cases                                  1
restated                               1
officials                              4
should                                13
degree                                 1
omission                               1
additional                             1
stated                                 2
aicpa                                  1
grant                                  3
gaap                                   2
being                                  1
contains                               1
compliance                             1
where                                  2
fraud                                  4
used                                   1
procedures                             1
impact                                 1
eight                                  1
related                                1
were                                   1
provisions                             3
results                                2
parties                                4
when                                   1
proper                                 1
directly                               2
concerning                             1
work                                   2
situations                             2
appropriate                            2
such                                   3
contract                               2
expressed                              2
issued                                 1
intends                                1
statement                              1
whole                                  1
contain                                2
responsibilities                       3
regulation                             1
acting                                 1
management                             5
clear-cut                              1
scope                                  1
catastrophic                           1
have                                   1
specific                               1
state                                  4
from                                   1
applicable                             1
1.256                                  1
add                                    1
was                                    3
considered                             2
1.255                                  1
distribute                             1
contracting                            1
if                                     6
receive                                1
is                                     5
with                                   7
those                                  2
disclosures                            2
circumstances                          1
agreement                              1
potential                              1
the                                   66
arranging                              1
in                                    13
section                                1
manual                                 2
conclusions                            1
previously-issued                      1
audited                                5
applied                                1
necessary                              1
auditing                               1
their                                  1
also                                   1
informative                            1

Totals:                    264       704
