Token                          Frequency
-----------------------------  ---------
discussion                             1
for                                    5
no                                     1
801                                    1
its                                    1
yellow                                 2
omitted                                1
of                                    15
abuse                                  1
nature                                 1
refer                                  1
laws                                   1
governmental                           2
report                                 5
2011                                   1
on                                     1
fu                                     1
government                             5
these                                  2
information                            2
reported                               1
deficiencies                           1
others                                 1
form                                   2
contents                               1
or                                     5
under                                  1
available                              1
prepare                                1
entities                               1
distribution                           1
include                                1
sas                                    1
will                                   1
recommendations                        2
reporting                              1
oversight                              2
each                                   1
privileged                             1
bodies                                 1
?                                      5
some                                   1
review                                 1
audits                                 4
ll                                     1
acts                                   1
assistance                             1
use                                    1
instances                              1
retrievable                            1
violations                             1
authority                              1
significant                            3
written                                1
agreements                             1
contracts                              1
internal                               1
thorough                               1
entitled                               1
authorized                             1
may                                    1
•                                      4
responsible                            2
recipients                             1
illegal                                1
organizations                          1
a                                      3
officials                              3
should                                 9
material                               1
standards                              4
including                              1
additional                             1
public                                 1
sector                                 1
incorporates                           1
to                                    10
relate                                 1
transactions                           1
send                                   1
provide                                1
grant                                  1
communicating                          1
entity                                 1
accountability                         1
compliance                             2
requiring                              1
fraud                                  3
auditors                               7
who                                    2
more                                   1
provisions                             1
results                                2
any                                    2
gagas                                  1
presented                              1
be                                     3
financial                              2
reports                                4
control                                1
text                                   1
appropriate                            3
such                                   1
submit                                 1
issuance                               1
intended                               1
charged                                1
and                                   17
statement                              1
copies                                 1
responsibilities                       2
contain                                1
examiners                              1
acting                                 1
management                             1
this                                   2
74                                     1
governance                             1
guidance                               1
legal                                  1
1.258                                  1
scope                                  1
other                                  2
have                                   1
about                                  1
contained                              1
applicable                             1
requirements                           1
chapter                                1
findings                               3
considerations                         1
performance                            2
if                                     1
receive                                1
confidential                           1
all                                    2
office                                 1
is                                     2
with                                   2
those                                  1
standard                               1
website                                1
www.gao.gov                            1
at                                     1
audit                                  6
the                                   23
bulletins                              1
addition                               1
know                                   1
in                                     5
arranging                              1
reference                              1
methodology                            1
au                                     1
manual                                 1
conclusions                            1
objectives                             1
audited                                1
views                                  1
book                                   2
certain                                1
auditing                               3
also                                   2

Totals:                    163       317
