Token                          Frequency
-----------------------------  ---------
to                                     2
methods                                1
gaap                                   1
treatment                              1
unadjusted                             1
by                                     1
accounting                             1
used                                   1
policies                               1
must                                   2
auditors                               3
practices                              1
of                                     3
were                                   1
any                                    2
report                                 1
on                                     1
directly                               1
reports                                2
such                                   1
letter                                 1
ramifications                          1
or                                     1
alternative                            2
preferred                              1
and                                    4
that                                   1
committee                              1
make                                   1
management                             3
other                                  1
communications                         1
use                                    1
differences                            1
management—and                         1
critical                               1
following                              1
written                                1
all                                    1
between                                1
•                                      3
with                                   1
those                                  1
audit                                  3
as                                     1
the                                    9
material                               1
schedule                               1
timely                                 1
committee—not                          1
discussed                              1
treatments                             1

Totals:                     52        78
