Token                          Frequency
-----------------------------  ---------
need                                   4
reliable                               2
periods                                1
using                                  2
appear                                 2
treatment                              1
specialist                             2
etc                                    1
conducted                              2
particular                             4
accounting                             6
timi                                   1
incorporate                            1
ence                                   1
e.g                                    3
nature                                 2
reduced                                1
1.231                                  1
1.230                                  1
2011                                   3
year                                   1
rigorous                               1
bias                                   2
preparing                              1
these                                  2
reviewing                              1
asset                                  2
once                                   1
contents                               1
how                                    2
regard                                 1
number                                 2
comparable                             1
he                                     1
entities                               1
further                                4
estimates—developing                   1
unauthorized                           1
examples                               4
review                                 2
ways                                   1
complex                                2
current-year                           1
unique                                 1
biases                                 1
316                                    1
comparing                              1
data                                   1
indicate                               1
use                                    1
fraudulent                             5
differences                            1
estimate                               2
substance                              1
anations                               1
significant                            5
could                                  1
locations                              3
consider                               3
emphasis                               1
current                                1
specialists                            1
entries                                5
depending                              1
do                                     2
ability                                1
tags                                   1
•                                     13
may                                   13
consulting                             1
a                                     17
increasing                             1
material                               7
selection                              2
gain                                   1
field                                  1
independent                            3
assignment                             1
including                              1
presenting                             1
what                                   1
inventory                              3
corroboration                          1
documentation                          1
testing                                3
part                                   1
notes                                  1
overly                                 1
gathered                               1
1.229                                  1
relating                               2
to                                    43
methods                                1
sizes                                  1
transactions                          12
recording                              1
reasonableness                         1
physical                               2
auditor                               19
provide                                1
basis                                  1
both                                   2
normal                                 1
become                                 1
reflected                              1
terms                                  1
entity                                 3
aware                                  1
perform                                3
by                                     7
identified                             7
must                                   1
has                                    3
auditors                               4
after                                  1
retrospective                          1
conduct                                1
personnel                              1
arising                                3
overall                                2
timing                                 1
reclassifications                      1
assessed                               1
be                                     4
suggests                               1
financial                             14
however                                1
recognition—performing                 1
so                                     1
quantities—examining                   1
differing                              1
period                                 3
vary                                   1
and                                   24
assets                                 3
that                                   9
particularly                           1
near                                   2
thereof                                1
items                                  2
often                                  2
override                               4
than                                   1
misappropriations                      1
assumptions                            2
examiners                              3
several                                1
due                                    4
unlikely                               1
economics                              1
require                                1
example                                6
identifies                             1
result                                 1
can                                    1
confirming                             1
evidence                               2
misstatements                          4
existing                               1
about                                  3
understanding                          2
through                                1
business                               3
journal                                4
response                               2
possible                               2
following                              1
sampling                               1
consolidating                          1
statements                             4
questioning                            1
unusual                                2
misstatem                              1
placed                                 1
attention                              1
consult                                1
sample                                 1
estimates                              8
strength                               1
unrelated                              1
at                                     4
audit                                  8
as                                     2
provides                               1
principles                             2
general                                1
adjustments                            3
au                                     1
therefore                              2
examining                              2
effect                                 1
take                                   1
an                                     5
changing                               2
ad                                     1
operations                             1
assessment                             3
ledger                                 1
specifically                           1
test                                   1
for                                   13
risks                                  7
determine                              1
otherwise                              1
involve                                3
supervision                            1
conceal                                1
whether                                3
third-party                            1
course                                 2
of                                    64
help                                   1
are                                    3
given                                  1
gathering                              1
confirmation                           1
performing                             5
on                                     7
only                                   1
misappropriation                       5
unannounced                            1
reported                               2
information                            4
element                                1
support                                2
evid                                   1
identify                               1
or                                    21
questions                              1
prevent                                1
matters                                1
board                                  1
inappropriate                          1
drafts                                 1
responses                              6
include                                4
not                                    2
measurements                           1
obtain                                 3
committee                              1
operating                              2
intentional                            1
performed                              3
recorded                               1
month                                  1
will                                   2
reporting                              7
records                                2
some                                   2
outside                                1
position                               1
different                              2
unconsolidated                         1
appropriateness                        1
evaluate                               1
examination                            1
conducting                             3
purposes                               1
predictability                         1
line                                   1
ensuring                               1
posted                                 1
susceptible                            1
engage                                 1
tests                                  5
supported                              1
detailed                               1
highly                                 1
rationale                              3
internal                               1
end                                    2
engaging                               1
responsible                            1
responding                             1
should                                 9
ent                                    1
product                                1
additional                             7
account                                1
ng                                     1
directors                              1
design                                 2
justments                              1
count                                  3
transaction                            2
wish                                   2
reflects                               1
entered                                1
fraud                                 10
type                                   1
been                                   1
sources                                2
impact                                 1
procedures                            15
prior                                  2
related                                1
accomplished                           1
more                                   5
level                                  1
results                                1
parties                                2
underlying                             2
directly                               1
misstatement                           5
concerning                             1
effectively                            1
such                                   5
contract                               1
shipments                              1
lack                                   1
comparison                             1
statement                              1
amounts                                1
responsibilities                       3
subjective                             1
involving                              1
included                               1
management                            17
this                                   2
other                                  3
unpredictability                       1
specific                               1
have                                   6
analytical                             3
from                                   4
affect                                 1
risk                                  10
because                                2
expl                                   1
controls                               7
staff                                  1
effectiveness                          1
appropriately                          1
during                                 3
extent                                 2
if                                     4
inspections                            1
making                                 2
representations                        1
develop                                1
relevant                               1
judgments                              2
between                                1
disaggregated                          1
revenue                                3
detect                                 1
with                                   5
is                                     8
application                            1
those                                  1
it                                     1
evaluating                             1
into                                   1
the                                   84
customers                              1
in                                    16
section                                2
balances                               1
manual                                 3
sheets                                 1
boxed                                  1
address                                4
corroborative                          1
special                                1
discussed                              1
auditing                               4
substantive                            4

Totals:                    367      1082
