Token                          Frequency
-----------------------------  ---------
to                                     1
transactions                           1
reveal                                 1
for                                    1
fraud                                  1
of                                     5
bribery                                1
file                                   3
interest                               1
when                                   1
2011                                   1
required                               1
be                                     2
financial                              1
comparison                             1
and                                    2
that                                   1
particularly                           1
ownership                              4
corruption                             1
then                                   1
will                                   1
examiners                              1
disclosed                              1
1.739                                  1
this                                   1
review                                 1
update                                 1
computer                               1
businesses                             1
selected                               1
complete                               1
if                                     1
annually                               1
employee                               1
kept                                   1
conflicts                              1
held                                   1
files                                  1
is                                     3
may                                    1
important                              1
vendor                                 5
a                                      3
the                                    5
should                                 1
in                                     1
manual                                 1
also                                   1
closely                                1
changes                                1

Totals:                     51        74
