Token                          Frequency
-----------------------------  ---------
to                                     2
merchandise                            1
conviction                             1
by                                     2
studies                                1
fixed                                  1
policies                               1
amount                                 1
person(s                               1
of                                     5
approved                               1
criminal                               1
be                                     1
information                            1
others                                 1
reward                                 3
such                                   1
or                                     1
rewards                                3
companies                              2
property                               1
few                                    1
and                                    2
varies                                 1
not                                    1
that                                   2
involved                               1
payments                               1
policy                                 2
strict                                 1
some                                   1
upon                                   1
have                                   1
indicate                               1
from                                   1
rewarding                              1
reviewed                               1
leads                                  1
paid                                   1
if                                     1
money                                  1
counsel                                1
criteria                               1
percentage                             1
dollars                                1
a                                      4
exceed                                 1
establish                              1
fees                                   1
offer                                  1
the                                    5
thousand                               1
should                                 3
recovery                               2
exists                                 1
proposed                               1

Totals:                     56        80
