Token                          Frequency
-----------------------------  ---------
to                                     2
they                                   1
provide                                1
no                                     1
confusing                              1
answers                                1
3.207                                  1
aware                                  1
good                                   1
by                                     1
fraud                                  1
has                                    1
must                                   2
of                                     4
avoid                                  1
danger                                 1
significance                           1
are                                    3
results                                1
2011                                   1
investigation                          1
interviewing                           1
be                                     1
respondent                             1
information                            1
form                                   1
ritual                                 1
how                                    1
learn                                  1
include                                1
and                                    4
that                                   2
them                                   1
then                                   1
than                                   1
examiners                              1
examples                               1
some                                   1
we                                     1
valid                                  1
other                                  1
behavior                               1
aspects                                1
theory                                 1
today                                  1
security                               1
merely                                 1
real                                   1
conversation                           2
giving                                 1
engaging                               1
detect                                 1
application                            1
with                                   1
is                                     1
ourselves                              1
a                                      1
you                                    1
ritualistic                            3
the                                    4
morning                                1
in                                     3
verbal                                 1
manual                                 1
interviewer                            1
interview                              1
relations                              1
interpersonal                          1

Totals:                     68        87
