Token                          Frequency
-----------------------------  ---------
total                                  1
merchandise                            1
placing                                1
particular                             1
received                               1
customer                               7
occurs                                 1
spot                                   1
turning                                1
missing                                1
over                                   1
scheme                                 1
2011                                   2
something                              1
purchases                              1
books                                  2
asset                                  2
he                                     2
shows                                  1
pocket                                 1
price                                  1
simply                                 2
;                                      1
fellow                                 1
theft                                  3
common                                 1
comparing                              2
made                                   2
difficult                              1
consider                               1
direct                                 1
may                                    1
payment                                1
illegal                                1
a                                     14
taking                                 1
up                                     1
register                              15
inventory                              1
part                                   1
collects                               1
reflect                                1
to                                    12
transactions                           3
recording                              2
provide                                1
normal                                 1
simplest                               1
by                                     3
impossible                             1
has                                    1
must                                   1
amount                                 2
balance                                2
takes                                  2
conduct                                2
would                                  1
basic                                  1
commit                                 1
sells                                  1
instance                               1
had                                    1
be                                     4
assuming                               1
financial                              2
however                                1
so                                     1
sale                                  10
and                                    6
properly                               1
that                                   9
overt                                  1
gister                                 1
desirable                              1
often                                  1
cash                                   8
examiners                              2
1.403                                  1
day                                    3
example                                1
1.404                                  1
make                                   1
shoves                                 1
does                                   1
shrinkage                              1
evidence                               1
employer                               1
thefts                                 1
purchase                               1
through                                1
re                                     1
stole                                  1
hand                                   2
possible                               2
above                                  1
employee                              15
placed                                 1
enters                                 1
thus                                   1
makes                                  1
camera                                 1
at                                     4
as                                     2
therefore                              1
see                                    1
there                                  3
an                                     4
off                                    1
certain                                1
manager                                2
appearance                             1
paragraph                              1
for                                    3
no                                     4
skims                                  1
skimming                               4
course                                 2
obvious                                1
of                                    15
are                                    1
given                                  1
sales                                  8
report                                 1
only                                   2
on                                     8
misappropriation                       2
worth                                  2
entering                               1
ring                                   1
services                               1
or                                     4
did                                    1
create                                 1
without                                2
not                                    3
record                                 3
funds                                  1
recorded                               1
will                                   8
pays                                   1
records                                1
some                                   1
home                                   1
might                                  2
unrecorded                             1
most                                   3
tape                                   4
indirectly                             1
non-cash                               1
money                                  7
pockets                                2
probably                               1
end                                    1
stolen                                 1
steal                                  1
receipts                               2
should                                 1
appearing                              1
item                                   2
but                                    4
transaction                            5
being                                  1
reflects                               1
entered                                1
show                                   1
since                                  1
fraud                                  2
drawer                                 2
though                                 1
been                                   2
were                                   1
his                                    4
surveillance                           1
someone                                1
when                                   2
$500                                   3
returning                              1
minus                                  1
wants                                  1
$400                                   3
company                                1
other                                  1
have                                   1
one                                    2
goods                                  2
from                                   1
$100                                   6
while                                  1
another                                1
order                                  1
if                                     3
able                                   1
suspect                                1
perpetrator                            1
detect                                 2
is                                    10
with                                   1
it                                     8
beginning                              1
into                                   1
the                                   65
in                                    12
manual                                 2
instead                                2
wrong                                  1
flowchart                              1
assume                                 1
act                                    2
also                                   1

Totals:                    209       525
