Token                          Frequency
-----------------------------  ---------
guide                                  1
they                                   1
using                                  1
risks                                 11
for                                    2
developed                              1
managing                               1
people                                 3
validate                               1
whether                                1
filled                                 1
of                                    10
significance                           3
are                                    8
nonexistent                            1
prevention                             1
occurrence                             2
on                                     1
2011                                   1
misappropriation                       1
ineffective                            1
#1                                     1
information                            1
identify                               4
or                                     1
residual                               3
table                                  1
steps                                  2
3                                      1
2                                      2
1                                      3
visual                                 1
7                                      1
6                                      1
operating                              2
corruption                             1
them                                   1
5                                      1
performed                              1
4                                      1
reporting                              1
mapped                                 1
evaluate                               3
next                                   1
use                                    1
most                                   1
likelihood                             3
resulting                              1
preventive                             1
and/or                                 1
american                               1
map                                    1
assess                                 2
internal                               1
f                                      1
anti-fraud                             1
schemes                                1
a                                      4
evaluated                              1
o                                      1
framework                              6
deterrence                             1
impacted                               1
institute                              2
public                                 1
4.813                                  1
detective                              1
design                                 1
based                                  1
methods                                1
to                                     8
incorporates                           1
by                                     1
identified                             5
fraud                                 20
accountants                            1
auditors                               1
practical                              1
subsequently                           1
commit                                 1
be                                     1
assessed                               1
financial                              1
effectively                            1
inherent                               1
certified                              2
association                            1
likely                                 2
begins                                 1
efficiently                            1
team                                   1
relative                               1
and                                   15
assets                                 1
involved                               1
representation                         1
examiners                              2
lastly                                 1
this                                   3
other                                  1
can                                    1
existing                               2
departments                            3
contained                              1
from                                   1
tested                                 1
business                               1
response                               2
risk                                   9
controls                               7
organization                           1
following                              1
effectiveness                          3
below                                  1
relevant                               3
sample                                 1
is                                     3
with                                   1
into                                   1
as                                     1
provides                               1
strategy                               1
potential                              1
list                                   1
the                                   21
in                                     3
manual                                 1
which                                  2
address                                1
their                                  1
sponsored                              1
assessment                             7

Totals:                    132       290
