Token                          Frequency
-----------------------------  ---------
need                                   1
exemptions                             2
for                                    4
…any                                   1
concern                                1
rights                                 1
obligations                            1
course                                 1
of                                     6
over                                   2
are                                    1
stock                                  3
basically                              1
given                                  1
interest                               2
laws                                   1
2011                                   1
government                             1
commercial                             1
option                                 1
information                            2
or                                     6
under                                  1
fair                                   1
guaranteed                             1
include                                1
many                                   1
gas                                    1
precipitated                           1
defines                                1
disclosure                             1
emptor                                 1
put                                    1
made                                   1
states                                 1
15                                     1
protect                                1
decision                               1
oil                                    1
title                                  1
truth                                  1
intervention                           1
fractional                             1
note                                   1
entitled                               1
prospective                            1
1.1502                                 1
united                                 1
markets                                1
…                                      2
a                                      1
1929                                   1
material                               1
fall                                   1
public                                 1
es                                     1
to                                     4
transactions                           3
1933                                   3
both                                   1
provide                                1
sometimes                              1
investors                              2
caveat                                 1
by                                     2
where                                  1
fraud                                  2
exempted                               1
u.s.c                                  1
differs                                1
any                                    3
concerning                             1
crash                                  1
be                                     2
financial                              1
contract                               1
issued                                 1
here                                   1
offering                               1
§                                      1
requires                               1
sale                                   1
and                                    5
that                                   1
market                                 1
examiners                              1
known                                  2
securities                             9
example                                1
treasury                               1
securiti                               1
this                                   2
commonly                               1
debenture                              1
regulate                               1
call                                   1
other                                  2
investor                               1
state                                  2
way                                    1
straddle                               1
from                                   1
investment                             4
was                                    1
bond                                   1
security…                              1
federal                                2
full                                   1
mineral                                1
rule                                   1
all                                    1
is                                     2
exempt                                 2
77b(a)(1                               1
as                                     2
the                                   12
instrument                             1
in                                     4
informed                               1
manipulation                           1
enacted                                1
manual                                 1
two                                    1
governments                            1
an                                     1
undivided                              1
necessary                              1
categories                             1
certain                                1
local                                  1
their                                  1
act                                    5
also                                   1

Totals:                    133       207
