Token                          Frequency
-----------------------------  ---------
they                                   2
instructed                             2
for                                    4
spy                                    2
external                               1
no                                     1
everything                             1
particular                             1
of                                     3
avoid                                  1
recruit                                1
time                                   1
are                                    2
drive                                  1
spies                                  2
2011                                   1
on                                     1
activities                             1
intelligence                           1
or                                     2
he                                     1
without                                1
goal                                   2
not                                    3
many                                   1
them                                   1
furthermore                            1
measures                               2
eliminate                              1
theft                                  1
computer                               1
different                              1
home                                   1
give                                   1
costs                                  1
short                                  1
leave                                  2
undetected                             1
could                                  1
—                                      2
do                                     2
campaign                               1
hard                                   1
want                                   1
steal                                  1
documents                              1
a                                      3
back                                   1
to                                     7
transactions                           1
save                                   1
being                                  1
lead                                   1
actually                               1
fraud                                  1
more                                   1
his                                    1
encryption                             1
any                                    3
trail                                  1
longer                                 1
infiltrated                            1
be                                     1
financial                              1
systems                                1
damage                                 1
intellectual                           1
property                               1
and                                    1
that                                   2
corporate                              1
detection                              1
importance                             1
company                                1
examiners                              1
even                                   1
can                                    3
workspace                              1
indication                             1
evidence                               3
security                               3
incriminating                          2
overriding                             1
generally                              1
all                                    1
is                                     3
with                                   1
it                                     1
added                                  1
double-encrypt                         1
recruits                               1
at                                     3
the                                    8
manual                                 1
two                                    1
1.832                                  1
continue                               1
target                                 1
device                                 1
their                                  2
storage                                1

Totals:                    101       149
