Token                          Frequency
-----------------------------  ---------
they                                   1
suspicious                             1
employment                             1
for                                    3
maintain                               1
liability                              1
determine                              1
its                                    2
unlawful                               1
customer                               2
whether                                1
of                                     5
references                             1
are                                    1
file                                   2
verified                               1
periodically                           1
report                                 2
on                                     3
terrorist                              2
year                                   1
activities                             1
these                                  1
information                            9
form                                   1
disclose                               1
or                                     9
identify                               1
under                                  1
submitted                              1
steps                                  1
not                                    3
314(b                                  1
fincen                                 3
insured                                1
verification                           1
them                                   1
then                                   2
will                                   2
bsa                                    1
malicious                              1
institutions                           5
notices                                1
made                                   1
secure                                 1
protect                                1
effective                              1
12                                     1
laundering                             3
allowing                               1
written                                1
current                                1
money                                  2
notice                                 3
ensure                                 1
•                                      4
may                                    2
voluntarily                            1
prescribed                             1
a                                      6
establish                              1
account                                1
directors                              1
based                                  1
banks                                  1
filed                                  1
to                                    10
but                                    1
individual                             1
transaction                            1
remains                                1
regulations                            1
entity                                 2
depository                             1
compliance                             1
long                                   1
used                                   1
where                                  1
anti-money                             1
must                                   3
has                                    2
who                                    1
u.s.c                                  1
conduct                                1
fulfilled                              1
any                                    2
bank                                   1
required                               1
stating                                1
follow                                 1
be                                     2
financial                              5
shared                                 2
appropriate                            1
such                                   1
mandatory                              1
issued                                 1
assist                                 1
§                                      1
intends                                1
1828(w                                 1
and                                    2
that                                   6
involved                               1
program                                1
than                                   1
known                                  1
permits                                1
treasury                               1
make                                   2
this                                   2
release                                1
does                                   2
other                                  5
have                                   3
agents                                 1
department                             1
one                                    2
about                                  1
former                                 1
from                                   1
purpose                                1
includes                               1
suspects                               1
patriot                                1
considered                             1
officers                               1
another                                3
share                                  5
sharing                                4
order                                  1
duty                                   1
if                                     3
rule                                   1
affiliated                             1
above                                  1
activity                               3
between                                1
institution                           13
is                                     4
with                                   9
disclosures                            2
pursuant                               1
it                                     4
at                                     1
as                                     2
list                                   2
the                                   21
secrecy                                1
intent                                 1
provision                              1
persons                                1
in                                     3
section                                2
355                                    1
which                                  1
see                                    1
term                                   1
an                                     3
provided                               1
suspected                              1
codified                               1
their                                  1
act                                    3
also                                   3
employees                              1

Totals:                    166       326
