Token                          Frequency
-----------------------------  ---------
to                                     2
they                                   1
transactions                           1
person                                 1
procure                                1
deposit                                1
location                               1
for                                    1
being                                  1
enough                                 1
consumer                               1
fraud                                  2
punched                                1
someone                                1
card                                   3
2011                                   1
bank                                   1
credit                                 2
financial                              1
information                            3
victims                                1
or                                     3
watch                                  1
and                                    1
that                                   1
popular                                1
examiners                              1
nearby                                 1
getting                                1
way                                    1
use                                    1
calling                                1
from                                   1
listens                                1
another                                1
identity                               2
surfing                                2
1.1759                                 1
obtains                                1
numbers                                1
conversation                           1
watches                                2
is                                     1
thus                                   2
thieves                                1
fill                                   1
a                                      3
as                                     1
potential                              1
the                                    3
obtaining                              1
manual                                 1
slips                                  1
shoulder                               2
account                                1
thief                                  1
telephone                              1
also                                   1
out                                    1

Totals:                     59        77
