Token                          Frequency
-----------------------------  ---------
using                                  1
benefit                                2
knowingly                              1
knew                                   2
advisable                              2
omitted                                1
although                               1
e.g                                    1
reduced                                1
2011                                   3
points                                 2
right                                  1
elements                               1
wouldn’t                               1
signature                              1
responsibility                         1
favorable                              1
asked                                  1
undue                                  1
once                                   1
how                                    1
told                                   1
number                                 3
he                                     3
borrowed                               1
crime                                  1
own                                    2
each                                   2
try                                    1
mistakes                               1
idea                                   2
moral                                  1
before                                 1
use                                    1
emotive                                1
_____                                  1
conf                                   1
aid                                    1
examiner                               1
date                                   1
instances                              2
likelihood                             1
didn’t                                 2
witness                                1
relied                                 1
written                                3
usually                                1
current                                1
wrongfully                             3
best                                   2
do                                     2
retract                                1
notice                                 1
”                                      1
ensure                                 1
later                                  1
whatever                               1
a                                     17
suggested                              1
repeated                               1
i                                     14
standards                              3
fact                                   1
pattern                                1
what                                   1
original                               1
having                                 1
notes                                  3
part                                   1
actions                                1
precise                                3
precede                                1
to                                    24
both                                   1
versus                                 1
took                                   3
offenses                               1
good                                   2
by                                     4
voluntariness                          1
long                                   1
must                                   4
describes                              1
conduct                                1
facts                                  1
commit                                 1
validity                               1
recollection                           1
approximately                          1
any                                    2
preserved                              1
losses                                 2
taken                                  1
depends                                1
light                                  1
key                                    1
had                                    2
be                                    18
financial                              1
wording                                4
however                                1
he/she/they                            1
so                                     1
willingness                            2
wordings                               1
untrue                                 2
willing                                1
intended                               1
and                                   12
sign                                   3
that                                  13
assets                                 1
than                                   4
examiners                              3
require                                1
example                                4
handwriting                            1
natural                                1
make                                   2
thing                                  1
legal                                  4
does                                   1
attempt                                2
valid                                  1
obtained                               1
acknowledge                            1
weight                                 1
can                                    4
concise                                1
set                                    1
implies                                1
about                                  1
tried                                  1
through                                1
completely                             1
cooperate                              2
following                              2
especially                             1
complete                               1
generally                              1
statements                             3
truthfulness                           1
showing                                1
accidental                             1
perceives                              1
$____                                  2
all                                    2
activity                               1
statement/action                       1
confession                             2
law                                    1
separate                               1
requirement                            2
ession                                 1
unrelated                              1
makes                                  1
at                                     1
promise                                1
as                                     7
still                                  1
avoided                                1
general                                2
unsure                                 1
draft                                  2
diminish                               1
which                                  1
effect                                 1
3.922                                  1
3.921                                  1
am                                     1
anyone                                 2
an                                     4
there                                  5
3.920                                  1
inadvertently                          1
claim                                  1
out                                    1
clause                                 2
specifically                           2
forth                                  1
hel                                    1
they                                   3
paragraph                              1
for                                   11
excuse                                 3
no                                     4
applies                                1
weren’t                                1
leaves                                 1
people                                 1
whether                                1
of                                    21
errors                                 2
are                                    6
correct                                1
initial                                2
repay                                  1
cross-examination                      1
on                                     2
approximate                            4
voluntary                              1
ping                                   1
information                            1
problems                               1
or                                     5
done                                   2
prepare                                2
regarding                              1
without                                2
entrusted                              1
include                                1
pressing                               1
not                                    7
present                                1
damages                                1
them                                   1
intentional                            1
say                                    1
will                                   3
crossed                                1
reporting                              3
delay                                  1
language                               4
ask                                    1
might                                  3
range                                  1
pertinent                              1
purposes                               1
mentioned                              1
proof                                  1
emphasizing                            1
rarely                                 1
short                                  1
words                                  1
unless                                 1
dates                                  4
tendency                               1
money                                  1
probably                               1
mine                                   1
me                                     1
covered                                1
steal                                  2
labeled                                1
balk                                   1
let                                    1
signed                                 4
pages                                  2
establish                              1
exceed                                 1
true                                   2
helps                                  1
access                                 1
declarant                              1
should                                18
my                                     4
verbal                                 1
additional                             1
interview                              3
amends                                 1
clearly                                1
telling                                1
insert                                 1
undo                                   1
ranges                                 1
adds                                   1
handwritten                            1
him                                    1
fraud                                  5
every                                  1
used                                   1
preserve                               1
been                                   2
caused                                 1
inserted                               1
please                                 1
accomplished                           1
more                                   4
substantiate                           1
his                                    1
signing                                2
when                                   1
exact                                  1
three                                  1
investigation                          4
once—once                              1
concerning                             1
confessions                            2
sure                                   1
such                                   3
portraying                             1
addendum                               1
easier                                 1
here                                   1
property                               2
lack                                   1
declarants                             1
requires                               1
knows                                  1
statement                             27
amounts                                1
strong                                 1
company                                2
word                                   1
known                                  1
included                               1
this                                   9
prepared                               1
allow                                  1
have                                   3
one                                    1
state                                  2
convert                                1
from                                   2
includes                               1
stenographic                           1
was                                    3
because                                3
confessor                             15
satisfactory                           2
during                                 1
if                                     5
rule                                   2
read                                   4
mean                                   2
cooperation                            1
making                                 1
offense                                5
less                                   1
____                                   2
those                                  1
is                                    14
with                                   1
it                                    15
added                                  1
important                              1
the                                   70
intent                                 3
in                                     9
manual                                 3
two                                    2
hurt                                   1
interviewer                            2
embezzle                               1
target                                 1
instead                                2
necessary                              1
wrong                                  2
act                                    2
first                                  1
also                                   3
step                                   1
lie                                    2
changes                                1

Totals:                    354       839
