Token                          Frequency
-----------------------------  ---------
they                                   1
appear                                 1
knowing                                1
checks                                 7
of                                     6
merchants                              1
are                                    1
on                                     3
right                                  1
itself                                 1
these                                  2
signs                                  1
or                                     2
texture                                1
again                                  2
number                                 4
regard                                 1
bad                                    1
always                                 1
few                                    1
not                                    4
many                                   1
digit                                  1
will                                   2
bottom                                 2
low                                    1
go                                     1
different                              1
simple                                 1
lengths                                1
indicate                               1
effective                              1
normally                               1
slightly                               1
genuine                                1
numbers                                4
do                                     2
district                               1
may                                    1
corner                                 1
detecting                              1
a                                      7
seem                                   1
should                                 1
up                                     1
altered                                1
article                                1
method                                 1
electronically                         2
down                                   1
coincide                               1
produce                                1
to                                     6
sometimes                              1
good                                   1
difficulty                             1
counterfeit                            3
used                                   1
transit                                1
must                                   1
his                                    1
three                                  1
be                                     2
however                                1
here                                   1
printing                               1
fan                                    1
and                                    4
ink                                    1
properly                               1
that                                   2
matching                               1
issuer                                 1
often                                  1
match                                  2
make                                   1
does                                   1
attempt                                1
slants                                 1
have                                   1
state                                  1
encoded                                3
add                                    1
counterfeiter                          1
forged                                 2
if                                     1
suspect                                1
top                                    1
office                                 1
is                                     3
with                                   1
check                                  8
uniform                                1
at                                     2
as                                     2
the                                   18
in                                     3
giveaways                              1
great                                  1
stand                                  1
color                                  2
there                                  1
group                                  1
also                                   1
first                                  1
serial                                 1
out                                    1
found                                  1
forgers                                1

Totals:                    109       191
