Token                          Frequency
-----------------------------  ---------
to                                     3
for                                    2
its                                    2
fraud                                  1
every                                  1
break                                  2
of                                     2
e.g                                    1
prove                                  1
charges                                1
objective                              1
or                                     2
under                                  1
sink                                   1
essentials                             1
and                                    2
against                                1
own                                    1
case                                   4
components                             1
make                                   1
legal                                  1
might                                  1
complex                                1
weight                                 1
other                                  1
simple                                 1
set                                    2
before                                 1
one                                    2
theory                                 1
pursuing                               1
examiner                               1
smaller                                1
witness                                1
clear                                  1
possible                               1
if                                     1
simplify                               1
less                                   1
defendants                             1
look                                   2
is                                     1
it                                     2
demanding                              1
a                                      1
into                                   1
as                                     2
the                                    6
in                                     1
informant                              1
starts                                 1
an                                     1
inside                                 1
down                                   2

Totals:                     55        77
