Token                          Frequency
-----------------------------  ---------
sizes                                  1
to                                     3
they                                   1
store                                  2
for                                    1
where                                  1
enough                                 1
$15                                    1
of                                     5
avoid                                  1
nevertheless                           1
were                                   1
over                                   2
are                                    1
his                                    2
scheme                                 2
created                                1
began                                  1
on                                     1
processing                             1
false                                  1
detected                               1
required                               1
opened                                 1
be                                     1
limit                                  1
1,000                                  1
limits                                 1
hours                                  1
under                                  1
disbursements                          2
companies                              1
he                                     2
and                                    1
many                                   1
not                                    2
that                                   3
system                                 1
detection                              1
simply                                 1
refunds                                4
case                                   1
example                                1
low                                    1
small                                  2
management                             1
this                                   1
review                                 2
have                                   1
before                                 3
set                                    1
employer                               1
made                                   1
way                                    1
copious                                1
was                                    2
noticed                                1
because                                1
reviewed                               1
another                                2
numbers                                1
refund                                 2
money                                  1
below                                  1
do                                     1
caught                                 1
employee                               2
man                                    1
all                                    1
$11,000                                1
with                                   1
is                                     3
a                                      2
the                                    7
eventually                             1
in                                     1
appearing                              1
process                                1
which                                  1
an                                     1
off                                    1
keep                                   1
employees                              2

Totals:                     83       119
