Token                          Frequency
-----------------------------  ---------
to                                     2
might                                  1
they                                   2
identifiers                            1
through                                1
believe                                1
people                                 1
of                                     1
identity                               1
personal                               1
are                                    2
when                                   1
only                                   1
false                                  1
be                                     1
information                            2
application                            3
schemes                                1
thieves                                1
a                                      3
job                                    3
the                                    1
reality                                1
in                                     1
supplying                              1
filling                                2
that                                   1
source                                 1
soliciting                             1
thief                                  1
also                                   1
out                                    2

Totals:                     32        44
