Token                          Frequency
-----------------------------  ---------
technique                              1
opposing                               3
to                                     4
by                                     1
eyes                                   1
of                                     3
would                                  1
useful                                 1
favorable                              1
be                                     2
questions                              1
board                                  2
and                                    2
not                                    1
often                                  1
sounding                               2
case                                   1
this                                   2
assumed                                1
position                               1
expert                                 1
might                                  1
raised                                 1
aspects                                1
reacquaint                             1
witness                                1
browbeat                               1
judge                                  1
me                                     1
various                                1
counsel                                3
jury                                   2
is                                     2
with                                   4
it                                     1
constant                               1
a                                      2
agreement                              2
true                                   1
as                                     1
you                                    1
the                                   11
in                                     1
general                                1
approach                               1
method                                 1
uses                                   2
concurrence                            1
also                                   1
agree                                  1

Totals:                     50        82
