Token                          Frequency
-----------------------------  ---------
need                                   3
using                                  2
said                                   2
external                               1
profession                             1
noted                                  2
linda                                  2
diffuse                                1
chance                                 1
until                                  1
furnish                                5
story                                  1
over                                   2
materials                              1
beans                                  1
2011                                   7
role                                   2
something                              1
right                                  4
these                                  2
#1                                     1
else                                   2
#2                                     1
distinction                            2
essential                              1
told                                   2
informants—perhaps                     1
number                                 2
he                                     9
meet                                   1
supplying                              1
prosecution                            1
further                                1
purchased                              1
scenario                               1
independently                          4
i-2                                    2
authorities                            2
promises                               3
i-1                                    1
payments                               2
cultivated                             1
big                                    1
ingratiate                             1
untoward                               1
unique                                 1
moral                                  1
knowledge                              1
confronts                              1
satisfy                                1
incidental                             1
before                                 3
behavior                               1
made                                   5
examiner                              32
fraudulent                             1
instances                              4
needing                                1
interested                             1
allegation                             2
de                                     2
trouble                                1
advised                                2
could                                  1
usually                                2
conversation                           1
tell                                   4
do                                     3
convincing                             1
man                                    1
ensure                                 1
b                                      1
illegal                                1
needs                                  1
a                                     68
behest                                 1
m                                      1
ones                                   1
talked                                 1
taking                                 2
i                                      6
compensation                           1
including                              1
s                                      1
what                                   4
unscrupulous                           2
introduced                             1
having                                 2
public                                 1
es                                     1
maintained                             1
basis                                  2
regulations                            1
hate-extremist                         1
revealed                               2
took                                   1
offenses                               1
lead                                   2
plays                                  1
aware                                  1
photographed                           1
by                                    12
same                                   4
has                                   10
who                                    8
suspicion                              1
medical                                1
personnel                              2
would                                  9
basic                                  3
future                                 1
pitfalls                               1
any                                    8
paying                                 1
key                                    1
had                                    1
be                                    40
financial                              1
think                                  1
get                                    5
sting                                  1
likely                                 2
notable                                1
learn                                  1
display                                1
code                                   1
indicating                             1
double                                 1
agent                                  1
virtually                              1
and                                   53
confrontation                          1
sign                                   1
investigations                         4
involved                               8
better                                 3
often                                  7
names                                  1
against                                4
unlawfully                             1
doing                                  1
active                                 1
educational                            1
examiners                             10
areas                                  2
kickbacks                              1
accuser                                1
example                                7
make                                   2
phase                                  1
enforcement                            6
does                                   5
obtained                               1
carefully                              1
criminals                              1
evidence                               7
dealing                                2
former                                 1
through                                1
drinks                                 1
accused                                3
business                               2
possible                               2
especially                             2
generally                              3
name                                   1
questioning                            1
pay                                    2
showing                                1
experience                             1
types                                  3
3.319                                  1
accomplice/witness                     4
activity                               3
all                                    4
talk                                   2
employed                               1
3.317                                  1
law                                    6
treacherous                            1
3.318                                  1
3.315                                  1
3.316                                  1
tort                                   1
3.313                                  1
3.314                                  1
lay                                    1
makes                                  1
at                                     4
as                                    20
compromised                            1
confront                               1
therefore                              1
never                                  1
which                                  2
co-conspirator                         1
source                                32
motives                                1
relations                              1
anyone                                 1
take                                   2
there                                  6
an                                    21
inside                                 1
manner                                 1
they                                   8
dunk                                   1
govern                                 1
reason                                 5
no                                     4
verify                                 4
otherwise                              1
court                                  1
receipt                                3
operation                              1
of                                    68
abuse                                  1
help                                   2
authenticity                           1
predisposed                            1
verified                               2
recently                               1
report                                 3
only                                   8
on                                    10
her                                    1
activities                             4
predication                            1
reported                               1
culled                                 1
secured                                1
numerous                               1
identify                               2
or                                    27
hold                                   1
done                                   1
questions                              1
steps                                  1
third                                  2
secretly                               1
include                                2
prostitution                           1
category                               2
suppose                                1
funds                                  1
earlier                                1
committed                              1
confident                              1
preceded                               1
then                                   2
will                                  12
recorded                               1
disclosure                             1
reporting                              1
attorney                               1
records                                1
collins                               14
varied                                 1
upon                                   2
indeed                                 1
