Token                          Frequency
-----------------------------  ---------
to                                     3
postings                               1
they                                   1
using                                  1
phone                                  1
discussion                             1
appear                                 1
individual                             1
e-mail                                 1
chat                                   1
who                                    1
of                                     3
are                                    3
when                                   1
on                                     1
supposedly                             1
groups                                 1
these                                  1
involves                               1
whose                                  1
enterprise                             1
like                                   1
posting                                1
and                                    2
plethora                               1
names                                  1
often                                  1
subscribers                            1
citizens                               1
internet                               2
room                                   1
spamming                               2
from                                   1
disguised                              1
boiler                                 1
ads                                    1
look                                   1
a                                      1
list                                   1
the                                    3
in                                     2
electronic                             1
sending                                1
versions                               1
fact                                   1
engaged                                1
an                                     1
lawful                                 1
tips                                   1
part                                   1

Totals:                     50        62
