Token                          Frequency
-----------------------------  ---------
to                                     1
users                                  1
for                                    2
little                                 1
type                                   1
fraud                                  1
of                                     5
time                                   1
software                               1
on                                     1
card                                   1
credit                                 1
be                                     1
financial                              1
information                            3
such                                   1
without                                1
and                                    2
spyware                                4
that                                   1
malware                                1
theft                                  1
typically                              1
knowledge                              1
can                                    1
malicious                              1
common                                 1
installed                              1
about                                  1
most                                   1
use                                    1
from                                   1
difficult                              1
short                                  1
computers                              1
personal                               1
numbers                                1
bits                                   1
detect                                 1
is                                     4
a                                      2
at                                     1
as                                     1
the                                    4
including                              1
presence                               1
hidden                                 1
their                                  1
user                                   1
collects                               1

Totals:                     50        68
