Token                          Frequency
-----------------------------  ---------
to                                     1
enforcement                            1
attorneys                              3
individual                             1
for                                    2
subject                                1
entity                                 1
state                                  3
states                                 1
particular                             2
good                                   1
by                                     1
whether                                1
sources                                1
was                                    1
of                                     4
are                                    1
any                                    1
action                                 1
on                                     1
consult                                1
information                            1
association                            1
website                                1
national                               1
or                                     1
a                                      2
at                                     1
links                                  1
the                                    4
general                                4
an                                     1
http://www.naag.org                    1
attorney                               1
records                                1
50                                     1

Totals:                     36        52
