Token                          Frequency
-----------------------------  ---------
lower                                  1
cause                                  1
conducted                              1
court                                  5
by                                     2
where                                  1
fraud                                  1
sources                                1
of                                     4
are                                    2
family                                 1
action                                 1
2011                                   1
on                                     1
investigation                          1
be                                     1
information                            1
support                                1
status                                 1
or                                     2
identities                             1
number                                 1
matters                                1
filing                                 1
and                                    4
county                                 1
examiners                              1
3.423                                  1
divided                                1
monetary                               1
case                                   1
included                               1
records                                3
probate                                1
courts                                 1
state                                  3
applicable                             1
date                                   1
child                                  1
upper                                  1
divorces                               1
division                               1
generally                              1
name                                   1
current                                1
civil                                  3
depending                              1
defendant                              1
between                                1
disposition                            1
law                                    1
may                                    2
plaintiff                              1
a                                      1
return                                 1
the                                    3
domestic                               1
searches                               2
manual                                 1
also                                   1
changes                                1

Totals:                     61        84
