Token                          Frequency
-----------------------------  ---------
2a                                     1
18-5.5-101                             1
102-107                                1
its                                    1
156                                    1
11.46.740                              1
ga                                     1
38                                     1
washington                             1
bribery                                1
499c                                   1
florida                                1
laws                                   5
2011                                   2
virginia                               2
11-52-1                                1
.1(i                                   1
30-16a-1                               1
&                                      1
502.01                                 1
california                             1
931                                    1
2933.41(a)(7                           1
11.81.900(a)(46                        1
27                                     1
939                                    1
2                                      3
13-2301(e                              1
30                                     1
crime                                  1
mont                                   1
2913.42                                1
53a-250                                1
5-41-102                               1
5-41-101                               1
nebraska                               1
2913.81                                1
computer                               2
theft                                  1
wisconsin                              1
rev                                   14
conn                                   1
609.87                                 1
oklahoma                               1
malicious                              1
60a                                    1
30-45-1                                1
use                                    2
states                                 1
18                                     2
okla                                   1
penalties                              1
nev                                    1
11                                     1
716a                                   1
21                                     1
idaho                                  2
2901.12                                1
205-473                                1
16-14-3                                1
arizona                                1
—                                      1
164.377                                1
16-9-90                                1
neb                                    1
va                                     2
21-3755                                1
d                                      1
17a                                    1
comp                                   1
b                                      1
a                                      2
louisiana                              1
6-3-501                                1
9a.52.110                              1
pennsylvania                           1
35-43-1-4                              1
l                                      1
752.791–797                            1
m                                      1
76-6-701                               1
penal                                  4
w                                      1
michigan                               1
new                                    4
27-340                                 1
t                                      1
mich                                   1
statutes                               2
2901.01(j                              1
502.7(h                                1
south                                  2
part                                   2
to                                     4
oregon                                 1
provide                                1
by                                     1
haw                                    1
would                                  1
wyo                                    1
ann                                   19
484j                                   1
943.70                                 1
28-1341                                1
705                                    1
be                                     1
-106                                   1
gen                                    4
however                                1
14.6                                   1
mexico                                 1
sd                                     1
sc                                     1
georgia                                1
code                                  21
and                                    4
mississippi                            1
that                                   1
against                                1
815.01                                 1
examiners                              2
120                                    1
2913.04                                1
11.4                                   1
ch                                     3
18.2-152.1                             1
76                                     1
illinois                               1
texas                                  1
ri                                     1
destruction                            1
2.315                                  1
through                                3
2.316                                  1
island                                 1
45-6-310                               1
wis                                    1
431-433                                1
43-43b-1                               1
cal                                    1
130                                    1
hawaii                                 1
l)-(r                                  1
cent                                   1
law                                    6
2912.0                                 1
at                                     1
ala                                    1
rhode                                  1
connecticut                            1
18-2201                                1
sec                                   26
vandalism                              1
52                                     1
11.46.200(a)(3                         1
27-45                                  1
50                                     1
251-261                                1
for                                    1
nn                                     1
tit                                    3
ny                                     1
perpetrated                            2
61-3c-1                                1
12.1-06.1-08                           1
of                                     3
minnesota                              1
6.484(a)(5                             1
false                                  1
ark                                    2
commercial                             1
arkansas                               1
information                            1
iowa                                   2
or                                     2
pretenses                              1
16d-7                                  1
art                                    2
delaware                               1
16d-1                                  1
include                                1
many                                   1
mischief                               1
pa                                     1
carolina                               2
now                                    1
nevada                                 1
might                                  1
indiana                                1
27-145                                 1
most                                   1
violations                             1
computers                              2
title                                  1
ohio                                   2
md                                     1
minn                                   1
61-3c-21                               1
montana                                1
107                                    1
embezzlement                           1
extortion                              1
expressly                              1
del                                    1
me                                     1
102                                    1
638:16                                 1
1203.047                               1
ariz                                   1
97-45-1                                1
13-2316                                1
stat                                  23
1952-1956                              1
kans                                   1
utah                                   2
nc                                     1
nd                                     1
proprietary                            1
nj                                     1
5-41                                   1
kansas                                 1
2702                                   1
jersey                                 1
§§                                     4
wyoming                                1
chap                                   1
434.840–434.860                        1
1(f                                    1
fraud                                  5
related                                2
mass                                   1
level                                  1
ind                                    1
n.h                                    1
crimes                                 2
maryland                               1
11.46.990                              1
n.m                                    1
1343                                   1
colo                                   1
fla                                    1
9.26a.100                              1
2901                                   1
dakota                                 2
503                                    1
ky                                     1
504                                    1
alaska                                 2
property                               1
hampshire                              1
11.46.985                              1
tex                                    1
la                                     1
west                                   1
:38a-1                                 1
specific                               1
state                                  3
north                                  2
alabama                                1
kentucky                               1
2c:20–23                               1
367                                    1
wash                                   2
york                                   1
266                                    1
forms                                  1
14:73.1–14:73.5                        1
52:17b–193                             1
33a                                    1
larceny                                1
120f                                   1
ill                                    1
maine                                  1
colorado                               1
prosecuting                            1
the                                    4
massachusetts                          1
33.01-33.05                            1
in                                     2
708-890                                1
16-16-10                               1
13a-8-101                              1
manual                                 2
14-453                                 1
forgery                                1
codified                               1
35-43-2-3                              1
miss                                   1
crim                                   1

Totals:                    289       462
