Token                          Frequency
-----------------------------  ---------
to                                    12
person                                 2
cause                                  1
for                                    3
transaction                            1
occurs                                 1
amount                                 3
u.s.c                                  2
course                                 1
of                                    12
time                                   1
conduct                                1
more                                   1
provisions                             1
fail                                   1
$500,000                               1
structuring                            1
12-month                               1
file                                   1
criminal                               1
report                                 1
$250,000                               1
5324                                   1
required                               1
be                                     3
imprisoned                             1
violating                              1
such                                   1
victim                                 1
or                                     3
fines                                  2
under                                  2
convicted                              1
doubled                                1
period                                 1
§                                      3
and                                    2
fined                                  1
then                                   1
than                                   1
31                                     1
involving                              1
reporting                              2
alternatively                          1
years                                  2
causes                                 1
loss                                   1
can                                    3
increased                              1
18                                     2
purpose                                1
requirements                           2
another                                1
title                                  2
twice                                  2
federal                                1
if                                     2
and/or                                 1
attempts                               1
fine                                   2
individuals                            1
institution                            1
covered                                1
law                                    1
with                                   1
five                                   1
illegal                                1
3571                                   3
organizations                          1
violation                              1
a                                      7
imposed                                1
provides                               1
as                                     1
the                                   14
in                                     2
section                                1
gain                                   1
evading                                1
up                                     5
ill-gotten                             1
felony                                 1
evade                                  1
10                                     1
prison                                 1
pattern                                1
part                                   1
$100,000                               1

Totals:                     88       161
