Token                          Frequency
-----------------------------  ---------
summary                                5
limited                                1
for                                    1
linda                                  1
checks                                 1
of                                     6
assistant                              1
given                                  1
nagel                                  1
page                                   1
file                                   2
briefly                                1
report                                 2
2011                                   1
topic                                  2
purchaser                              1
6/1/xx                                 1
form                                   1
identify                               2
orion                                  1
or                                     2
prepare                                2
not                                    4
passages                               1
11/8/xx                                1
30                                     1
5                                      2
will                                   2
reporting                              1
8                                      1
records                                1
impair                                 1
letters                                1
collins                                5
review                                 1
might                                  2
typically                              1
examination                            1
pertinent                              1
indicate                               1
15                                     1
examiner                               2
indebtedness                           1
witness                                1
de                                     1
chronology                             1
hired                                  1
promoted                               1
written                                1
contracts                              1
covered                                1
reed                                   1
documents                              1
a                                      6
should                                 1
standards                              1
familiar                               1
point                                  1
including                              1
utility                                1
interview                              2
what                                   1
inconsistent                           1
3.926                                  1
appendix                               1
public                                 1
succinct                               1
keep                                   1
to                                     8
but                                    1
detail                                 1
basis                                  1
provide                                1
being                                  1
permit                                 1
fraud                                  3
robinson                               1
who                                    1
witnesses                              1
personnel                              2
friends                                1
facts                                  1
someone                                1
useful                                 1
opinion                                1
investigation                          1
be                                     2
garza                                  1
reduce                                 1
much                                   1
and                                    6
statement                              1
issues                                 1
la                                     1
examiners                              1
example                                2
case                                   1
included                               1
engagement                             1
does                                   1
other                                  1
can                                    1
evidence                               1
testimony                              2
quick                                  1
writing                                1
voluminous                             1
possible                               1
order                                  1
statements                             3
below                                  1
synopsis                               2
summaries                              1
relevant                               1
too                                    1
is                                     1
with                                   1
at                                     1
as                                     3
the                                   11
in                                     3
know                                   1
manual                                 1
see                                    1
an                                     2
also                                   2

Totals:                    126       195
