Token                          Frequency
-----------------------------  ---------
allowed                                1
to                                     6
for                                    1
by                                     1
good                                   1
honest                                 1
fraud                                  3
people                                 3
been                                   1
has                                    1
of                                     3
are                                    1
would                                  1
closest                                1
fraudster                              1
happen                                 1
be                                     2
thoughts                               1
think                                  2
consideration                          1
here                                   1
unthinkable                            2
like                                   1
large-                                 1
and                                    2
frauds                                 1
many                                   1
not                                    2
that                                   1
inclined                               1
leading                                1
scale                                  1
conducting                             1
allow                                  1
have                                   2
events                                 1
most                                   1
occurred                               1
evaluation                             2
risk                                   3
ability                                1
deemed                                 1
expansive                              1
it                                     1
can’t                                  1
naturally                              1
a                                      2
moderate                               1
the                                    6
should                                 1
in                                     2
fact                                   1
their                                  1
assessment                             2

Totals:                     54        82
