Token                          Frequency
-----------------------------  ---------
to                                     3
automated                              2
but                                    2
reducing                               1
well-designed                          1
no                                     1
by                                     1
good                                   1
fraud                                  3
occurs                                 1
has                                    1
balance                                1
of                                     5
are                                    2
commit                                 1
fraudster                              1
something                              2
right                                  1
fully                                  1
be                                     1
processes                              2
or                                     2
identify                               1
bad                                    2
reduce                                 1
and                                    2
that                                   2
system                                 2
vulnerability                          1
eliminate                              1
stop                                   1
can                                    4
before                                 1
from                                   1
occurred                               1
effective                              1
business                               1
risk                                   1
controls                               7
organization                           1
designed                               1
effectiveness                          1
preventive                             2
internal                               4
greatly                                1
with                                   1
those                                  1
it                                     1
deter                                  1
happening                              1
a                                      1
the                                    7
already                                1
manual                                 2
opportunity                            1
an                                     1
within                                 1
detective                              2
also                                   1
average                                1

Totals:                     60        99
