Token                          Frequency
-----------------------------  ---------
reliable                               2
they                                   1
maintain                               1
its                                    2
creates                                1
of                                     8
created                                1
burden                                 1
on                                     2
industry                               2
place                                  1
these                                  1
intact                                 1
programs                               1
prove                                  1
patterns                               1
or                                     2
counteract                             1
companies                              1
did                                    1
effects                                1
mishandled                             1
he                                     1
health                                 6
regarding                              1
without                                1
prosecution                            2
not                                    1
content                                2
record                                 1
system                                 3
then                                   1
records                                1
ways                                   1
use                                    1
fraudulent                             1
substantially                          1
pick                                   1
may                                    2
flags                                  1
a                                      4
should                                 1
electronic                             4
up                                     1
familiar                               1
red                                    1
remain                                 1
falls                                  1
original                               2
within                                 1
to                                     5
transactions                           1
but                                    1
proven                                 2
transaction                            1
uncover                                1
integrity                              1
lead                                   1
raising                                1
show                                   1
by                                     2
fraud                                  4
type                                   1
has                                    2
must                                   4
basic                                  1
intentionally                          1
care                                   6
be                                     2
effectively                            1
demonstrate                            1
automatic                              1
possibility                            2
enter                                  1
reduce                                 1
and                                    1
weakness                               1
that                                  10
environment                            1
company                                5
doing                                  1
several                                1
intricate                              1
legal                                  2
can                                    3
have                                   1
safeguards                             1
edi                                    3
evidence                               2
from                                   1
analysis                               1
was                                    1
another                                1
if                                     1
defendant                              1
activity                               1
all                                    1
is                                     2
it                                     1
thus                                   1
communication                          1
ultimately                             1
origin                                 1
greatest                               1
compromised                            1
the                                   21
principles                             1
in                                     3
therefore                              1
unintentionally                        1
an                                     2
things                                 1
claim                                  4
also                                   1

Totals:                    114       209
