Token                          Frequency
-----------------------------  ---------
need                                   1
they                                   2
deposit                                1
for                                    6
originate                              1
deposits                               2
third-party                            2
of                                     8
are                                    5
wholesale                              2
repay                                  1
thereby                                1
gathering                              1
on                                     4
2011                                   1
salary                                 1
industry                               1
commission                             1
commercial                             1
option                                 1
these                                  1
sold                                   1
books                                  1
mortgage                              18
became                                 1
without                                1
loan                                   6
distributors                           1
evolution                              2
largest                                1
originated                             1
few                                    1
many                                   1
not                                    1
2                                      1
now                                    1
tpos                                   1
lot                                    1
own                                    1
keeping                                1
retail                                 2
steady                                 1
relying                                1
additionally                           1
institutions                           1
secondary                              3
use                                    1
mortgages                              1
consequently                           1
authority                              1
paid                                   1
could                                  1
sell                                   1
worked                                 1
money                                  1
two-thirds                             1
rather                                 3
do                                     1
products                               2
minimally                              1
rely                                   2
non-depository                         1
markets                                1
a                                      6
historically                           1
lenders                                8
seen                                   1
bankers                                1
loans                                  6
additional                             1
broker                                 1
part                                   1
brokers                                6
banks                                  5
to                                     9
monies                                 1
transactions                           1
depositors                             1
wish                                   1
depository                             1
by                                     1
headquartered                          1
fraud                                  2
capital                                3
has                                    3
related                                1
close                                  1
capitalized                            1
were                                   1
more                                   1
estimated                              1
future                                 1
originations                           2
bank                                   3
overtaken                              1
fund                                   1
be                                     1
however                                1
providing                              1
2.303                                  1
and                                    5
that                                   2
market                                 3
than                                   4
examiners                              1
even                                   1
make                                   1
large                                  1
result                                 1
origination                            2
today                                  2
stability                              1
purchase                               1
from                                   1
well                                   1
employing                              1
smaller                                1
originators                            2
officers                               2
officer                                1
supply                                 1
all                                    1
evolve                                 1
law                                    2
is                                     1
with                                   3
it                                     1
funding                                1
lending                                2
percentage                             1
locally                                1
at                                     3
as                                     3
the                                   18
past                                   1
in                                     2
needed                                 1
manual                                 1
source                                 1
take                                   1
an                                     1
instead                                1
provided                               1
competitive                            1
tpo                                    1
started                                3
their                                  3
also                                   1

Totals:                    148       287
