Token                          Frequency
-----------------------------  ---------
clump                                  1
higher                                 1
wrote                                  1
checks                                 9
missing                                2
hide                                   2
scheme                                 1
2011                                   1
receives                               1
fraudster                              1
these                                  1
copy                                   1
books                                  1
checkbook                              1
asset                                  1
he                                     2
frauds                                 1
system                                 1
simply                                 2
crime                                  1
cashed                                 1
fraudulent                             6
illicit                                1
easy                                   1
written                                1
usually                                2
write                                  1
do                                     2
notice                                 1
may                                    2
payment                                1
organizations                          1
a                                      9
back                                   1
alter                                  2
fact                                   2
concealment                            1
sequence                               1
returned                               1
to                                    17
transactions                           1
physical                               1
recording                              1
both                                   1
by                                     1
has                                    2
who                                    3
doctor                                 1
balance                                8
basic                                  1
any                                    3
bank                                  13
taken                                  1
instance                               2
be                                     4
financial                              1
reports                                1
perpetrate                             1
victim                                 2
so                                     1
disbursements                          3
effort                                 1
code                                   2
period                                 1
physically                             1
and                                    9
that                                   7
involved                               1
than                                   1
cash                                   1
unlikely                               2
examiners                              1
make                                   1
large                                  1
credited                               1
can                                    2
urnal                                  1
evidence                               1
forged                                 2
hand                                   1
journal                                4
employee                               1
all                                    2
lax                                    1
accounts                               2
percentage                             1
makes                                  1
maker                                  3
at                                     3
as                                     1
therefore                              2
personally                             1
anyone                                 1
1.528                                  1
there                                  1
listing                                1
out                                    3
employees                              2
they                                   2
person                                 2
for                                    3
no                                     4
$25,000                                3
arrives                                1
destroys                               1
conceal                                1
existence                              1
course                                 1
of                                    13
are                                    3
on                                     2
only                                   1
her                                    1
misappropriation                       1
listed                                 1
ot                                     1
or                                     3
reconciling                            2
questions                              1
reconciles                             2
did                                    1
without                                1
include                                1
not                                    6
record                                 2
now                                    1
them                                   1
then                                   2
will                                   7
some                                   2
position                               1
remove                                 1
preceding                              1
most                                   1
effective                              1
normally                               1
disbursement                           1
unless                                 1
words                                  1
delete                                 1
end                                    1
engaging                               1
authorized                             1
steal                                  1
blank                                  1
schemes                                1
reconcile                              3
void                                   1
omit                                   1
account                                3
method                                 1
force                                  1
canceled                               1
but                                    2
cause                                  1
last                                   1
jo                                     1
since                                  1
where                                  2
fraud                                  2
been                                   1
disguise                               1
almost                                 1
regularly                              1
someone                                1
when                                   2
work                                   1
situations                             1
reviews                                1
discover                               1
himself                                2
statement                              9
company                                6
even                                   1
match                                  3
stack                                  1
this                                   3
decide                                 1
have                                   2
one                                    2
way                                    1
from                                   4
includes                               1
was                                    2
controls                               1
tampering                              1
omitting                               1
allows                                 1
if                                     1
fraudsters                             1
perpetrator                            7
those                                  1
is                                     8
with                                   1
it                                     8
check                                 10
problem                                2
the                                   60
in                                    13
reconciliation                         1
manual                                 1
removes                                1
book                                   4
necessary                              1
their                                  3

Totals:                    205       493
