Token                          Frequency
-----------------------------  ---------
to                                     5
reason                                 2
for                                    1
court                                  1
its                                    1
fraud                                  4
appointed                              1
of                                     7
primary                                1
on                                     1
role                                   2
be                                     1
work                                   1
debtor                                 1
how                                    2
or                                     1
code                                   1
matters                                2
investigate                            2
and                                    4
7                                      1
committee                              1
often                                  2
bankruptcy                             4
creditors                              2
this                                   1
make                                   1
might                                  1
operates                               1
most                                   1
confronted                             1
outline                                1
principals                             1
trustee                                9
11                                     2
private                                1
authority                              2
allegations                            1
following                              1
chapter                                3
is                                     6
with                                   3
it                                     2
cases                                  1
important                              1
a                                      3
investigators                          1
the                                   18
interacting                            1
in                                     4
know                                   1
representatives                        1
misconduct                             1
opportunity                            1
what                                   1
part                                   1
brief                                  1
found                                  1

Totals:                     58       126
