Token                          Frequency
-----------------------------  ---------
to                                     2
store                                  1
provide                                1
traceroute.org—like                    1
for                                    4
queried                                1
particular                             2
technical                              1
fraud                                  1
used                                   2
contacts                               1
of                                     2
tools                                  1
3.508                                  1
search                                 1
2011                                   1
investigation                          1
whatismyipaddress.com                  1
these                                  1
be                                     2
networksolutions.com                   1
information                            3
and                                    3
that                                   3
ownership                              1
registrant                             1
will                                   2
examiners                              1
locating                               1
addresses                              3
records                                1
accessing                              1
can                                    2
range                                  1
query                                  1
about                                  1
collection                             1
online                                 1
response                               1
following                              1
name                                   2
domain                                 3
arin.net                               1
allwhois.com                           1
find                                   1
sites                                  1
protocol                               2
is                                     3
•                                      5
whois                                  4
website                                1
trace                                  1
a                                      6
whatismyipaddress.com—                 1
at                                     1
provides                               1
the                                    5
registration                           2
searches                               1
database                               1
ip                                     4
manual                                 1
including                              1
address                                3
databases                              2
an                                     1
server                                 2

Totals:                     67       115
