Token                          Frequency
-----------------------------  ---------
to                                     3
suddenly                               1
they                                   1
appear                                 1
evidence                               1
developed                              1
from                                   1
course                                 1
of                                     2
document                               1
alibi                                  1
inquiry                                1
are                                    1
refute                                 1
suspect                                2
investigation                          1
trial                                  1
be                                     1
these                                  1
favorable                              1
information                            1
prove                                  1
is                                     1
nowhere                                1
documents                              1
or                                     2
the                                    4
always                                 1
in                                     1
and                                    2
many                                   1
that                                   1
damaging                               1
often                                  1
late                                   1
an                                     1
previously                             1
fabricated                             1
out                                    1

Totals:                     39        48
