Token                          Frequency
-----------------------------  ---------
hughes                                 1
to                                     2
person                                 1
using                                  1
appearance                             1
supersedes                             1
photocopy                              1
leaves                                 1
long                                   1
been                                   1
who                                    1
of                                     3
although                               1
located                                1
howard                                 1
only                                   1
photocopies                            1
amazingly                              1
be                                     1
prove                                  1
cut-and-paste                          1
much                                   1
and                                    3
prime                                  1
many                                   1
not                                    1
that                                   1
often                                  1
will                                   3
involving                              1
wills                                  1
example                                1
post-dates                             1
large                                  1
other                                  1
lost                                   1
can                                    1
mid-1970s                              1
common                                 1
have                                   1
publicized                             1
sudden                                 1
forged                                 1
too                                    1
all                                    2
is                                     2
it                                     2
a                                      3
the                                    7
in                                     1
mormon                                 1
portions                               1
new                                    1
method                                 1
fabricated                             2
estate                                 1
found                                  1

Totals:                     57        76
