Token                          Frequency
-----------------------------  ---------
for                                    1
inception                              1
its                                    1
since                                  1
consumer                               1
fraud                                  5
comprises                              1
has                                    1
distinct                               1
of                                     3
tools                                  1
more                                   1
three                                  2
report                                 1
advanced                               1
2011                                   1
investigation                          2
credit                                 3
intelligence                           2
protection                             1
information                            2
services                               2
support                                2
problems                               1
victim                                 1
or                                     1
cpt                                    1
global                                 1
offers                                 2
portfolio                              1
consumers                              2
companies                              1
prevent                                1
team                                   3
and                                    8
credit-decision                        1
models                                 1
teams                                  1
examiners                              1
transunion                             4
fast                                   1
big                                    1
innovative                             1
management                             1
profitability                          1
accessing                              1
fvad                                   3
assistance                             2
department                             1
one                                    1
3.529                                  1
target-marketing                       1
business                               1
businesses                             1
online                                 1
response                               1
risk                                   1
fraud-prevention                       1
alike                                  1
products                               2
millions                               1
•                                      3
is                                     2
with                                   2
resolve                                1
it                                     1
a                                      2
helped                                 1
provider                               1
the                                    6
technology-based                       1
manual                                 1
including                              1
first                                  1
also                                   1
specifically                           1

Totals:                     76       118
