Token                          Frequency
-----------------------------  ---------
need                                   1
postings                               1
placing                                1
store                                  1
etc                                    1
particular                             2
visit                                  1
minimal                                1
creates                                1
its                                    2
time                                   1
free                                   2
providers                              3
search                                 1
interest                               1
eets                                   1
she                                    4
2011                                   3
serious                                1
piece                                  1
video                                  2
these                                  3
intelligence                           8
monitoring                             2
once                                   1
offers                                 1
possibly                               1
convention                             1
companies                              3
number                                 1
outlets                                1
he                                     2
wide                                   1
miles                                  1
log                                    1
calls                                  1
purchased                              2
fee                                    2
system                                 3
scenario                               1
simply                                 1
reservation                            1
viruses                                1
hot                                    1
own                                    1
documentary                            1
view                                   1
try                                    1
computer                               3
theft                                  3
flyer                                  1
malicious                              1
stayed                                 1
use                                    1
aid                                    1
collection                             1
difficult                              1
interested                             1
traveled                               1
extensive                              1
critical                               1
document                               1
fills                                  1
conversation                           1
itinerary                              1
pick                                   1
tell                                   1
targets                                1
site                                   6
direct                                 1
applicants                             1
may                                    1
•                                     14
transactional                          4
builds                                 1
later                                  1
$50.00                                 1
a                                     44
come                                   1
m                                      1
gain                                   3
up                                     5
field                                  1
register                               1
history                                1
analyze                                1
what                                   1
unwittingly                            1
having                                 1
tastes                                 1
keep                                   1
to                                    33
transactions                           3
provide                                3
payoff                                 1
become                                 1
took                                   1
tactic                                 1
download                               1
by                                     3
same                                   1
humint                                 1
has                                    5
who                                    2
necessarily                            2
striking                               1
software                               2
questionnaire                          1
specialties                            1
personnel                              1
proclivities                           1
future                                 1
any                                    2
friendship                             1
card                                   3
sells                                  1
microfilm                              1
instance                               2
vices                                  1
be                                     5
financial                              3
collecting                             1
passwords                              1
however                                1
get                                    1
so                                     1
contractor                             2
engines                                1
likely                                 1
pump                                   1
and                                   15
helpful                                1
properly                               1
executive                              1
that                                  11
efforts                                1
than                                   3
doing                                  1
several                                1
examiners                              3
whom                                   1
require                                2
example                                1
natural                                1
internet                               2
collect                                1
attempt                                1
does                                   1
remember                               1
can                                   16
set                                    2
about                                  2
businesses                             1
business                               2
hotels                                 1
setting                                1
possible                               1
organization                           3
intelligence-gathering                 1
frequents                              1
trip                                   1
trained                                1
60                                     1
employee                               4
all                                    1
profile                                2
music                                  1
mail                                   1
regular                                1
makes                                  1
track                                  2
at                                     5
as                                     3
you                                    1
adult                                  1
gray                                   1
needed                                 1
topics                                 1
see                                    1
source                                 3
there                                  1
an                                     7
inside                                 2
device                                 1
service                                1
scam                                   1
informants                             4
out                                    1
employees                              4
very                                   1
impressed                              1
they                                   2
attacking                              1
person                                 1
instructed                             1
for                                   16
spy                                   17
determine                              1
technical                              1
people                                 1
of                                    26
open                                   1
help                                   3
are                                    3
spies                                  2
on                                     5
rented                                 1
commercial                             1
itself                                 1
information                           11
services                               3
or                                     7
job                                    1
again                                  1
hobbies                                2
create                                 2
powerful                               1
without                                1
not                                    4
record                                 1
obtain                                 1
unwitting                              1
then                                   1
will                                   4
records                                3
some                                   1
small                                  1
different                              2
might                                  3
mundane                                1
range                                  1
assistance                             1
sabotage                               1
subject                                6
d&b                                    1
contact                                2
kind                                   2
title                                  1
paid                                   1
rather                                 1
airline                                1
frequently                             1
just                                   1
purely                                 1
penetrate                              1
stay                                   1
edge                                   1
receipts                               1
bogus                                  1
links                                  3
metatags                               1
confidence                             1
stored                                 1
websites                               2
access                                 6
research                               3
should                                 1
frequent                               1
really                                 1
additional                             2
compiled                               1
telephone                              3
résumés                                1
users                                  2
phone                                  2
but                                    2
send                                   1
transaction                            2
subjects                               1
enable                                 1
travel                                 2
him                                    2
used                                   2
fraud                                  3
where                                  3
type                                   1
password                               2
impact                                 1
sources                                2
avenues                                1
his                                    1
compromise                             1
surveillance                           1
someone                                1
value                                  1
decoy                                  3
useful                                 2
applications                           1
directly                               1
credit                                 2
cards                                  1
combining                              1
such                                   1
easier                                 1
visitors                               4
videos                                 1
intellectual                           3
enter                                  1
logging                                1
property                               3
wants                                  1
targeted                               3
knows                                  1
follow-up                              1
corporate                              3
company                                2
called                                 1
even                                   2
hybrid                                 1
included                               1
this                                  11
call                                   1
lead-in                                1
other                                  2
have                                   3
interests                              1
agents                                 1
becomes                                1
one                                    2
goods                                  1
way                                    1
calling                                1
security                               1
from                                   2
purpose                                1
restaurant                             1
documenting                            1
network                                1
while                                  1
id                                     2
because                                2
another                                1
researched                             1
staff                                  2
1.843                                  1
details                                1
1.844                                  1
wary                                   1
if                                     3
1.842                                  1
develop                                2
dialog                                 1
relevant                               1
less                                   1
major                                  2
with                                   2
is                                    13
minutes                                1
it                                     9
gives                                  1
matter                                 1
website                                5
fill                                   1
into                                   2
potential                              1
the                                   48
offer                                  1
in                                     7
entertainment                          2
database                               1
human                                  1
manual                                 3
target                                10
necessary                              1
uses                                   1
their                                  1
act                                    1
user                                   4
also                                   4

Totals:                    369       869
