Token                          Frequency
-----------------------------  ---------
to                                     3
transactions                           1
might                                  3
but                                    1
other                                  1
buy                                    1
use                                    1
its                                    1
fraud                                  1
1.716                                  1
corrupt                                1
recipient                              2
bribery                                1
of                                     1
title                                  1
sell                                   2
value                                  2
2011                                   1
rent                                   1
less                                   1
financial                              1
transfers                              1
asset                                  1
or                                     4
at                                     3
far                                    1
property                               3
inflated                               1
the                                    6
fair                                   1
and                                    1
manual                                 1
market                                 2
payer                                  2
corruption                             1
lease                                  1
an                                     1
than                                   2
examiners                              1
retain                                 1
prices                                 1
also                                   1
agree                                  1

Totals:                     43        65
