Token                          Frequency
-----------------------------  ---------
person                                 1
for                                    1
threat                                 1
spy                                    8
otherwise                              1
recruited                              1
excessive                              1
sufficient                             1
of                                     8
abuse                                  1
recruit                               11
trapping                               1
criminal                               3
chemical                               1
on                                     3
her                                    1
something                              1
serious                                1
piece                                  1
spending                               1
turn                                   1
information                            1
wild                                   1
once                                   2
or                                     5
job                                    1
he                                     1
meet                                   1
prosecution                            1
include                                1
record                                 1
simply                                 1
them                                   1
alcohol                                1
will                                   4
favor                                  1
examples                               1
some                                   2
recruiter                              1
typically                              1
spying                                 1
sort                                   2
common                                 1
blackmail                              2
dependent                              1
easily                                 1
most                                   1
line                                   2
usually                                1
do                                     1
convictions                            1
stolen                                 1
regardless                             1
look                                   1
needs                                  1
later                                  1
a                                      5
back                                   1
socially                               1
essentially                            1
starts                                 1
method                                 1
finance                                1
force                                  2
keep                                   3
to                                    12
hesitant                               1
but                                    1
losing                                 1
by                                     1
identified                             1
has                                    4
been                                   1
habits                                 1
dependency                             1
more                                   1
police                                 1
his                                    5
proclivities                           1
forced                                 1
financial                              1
divulged                               1
situations                             1
such                                   1
so                                     1
likely                                 1
trap                                   1
and                                    2
weakness                               3
leash                                  1
that                                   4
company                                1
recruiting                             3
friend                                 1
can                                    1
one                                    2
becomes                                1
employer                               1
turns                                  1
cooperate                              1
possible                               1
order                                  1
extent                                 1
if                                     3
sexual                                 1
tries                                  1
employee                               2
drug                                   1
is                                     3
recruits                               1
unacceptable                           1
potential                              1
as                                     2
problem                                1
the                                   24
past                                   2
in                                     8
gambling                               1
two                                    1
which                                  1
threatens                              1
helping                                1
continue                               1
an                                     3
target                                 3
secret                                 1
things                                 1
tight                                  1
embarrassing                           1
out                                    1
employees                              1

Totals:                    131       246
