Token                          Frequency
-----------------------------  ---------
to                                     3
diminishes                             1
waste                                  6
holding                                1
shipment                               1
chance                                 1
amount                                 1
of                                     3
more                                   1
are                                    2
non-documentary                        1
when                                   1
be                                     2
secured                                1
contents                               1
shipments                              1
places                                 1
much                                   1
and                                    2
traffic                                1
start                                  1
them                                   1
trash                                  2
locked                                 1
release                                1
non-sensitive                          1
plant                                  1
can                                    1
paper                                  1
before                                 1
becomes                                1
excellent                              1
from                                   2
difficult                              1
analysis                               1
fairly                                 1
document                               1
area                                   1
disposal                               3
shredded                               1
greatly                                1
sensitive                              1
it                                     1
uniform                                2
vendor                                 1
a                                      2
sorted                                 1
into                                   1
the                                    3
should                                 1
in                                     1
there                                  1
operations                             1
consistent                             1
modules                                1
deciphering                            1
adding                                 1

Totals:                     57        77
