Token                          Frequency
-----------------------------  ---------
to                                     6
proceeds                               2
for                                    1
§§                                     1
otherwise                              1
u.s                                    1
travel                                 4
manage                                 1
unlawful                               4
u.s.c                                  2
of                                     7
commit                                 1
someone                                1
any                                    3
on                                     1
be                                     1
involves                               1
defined                                1
or                                     5
establishment                          1
fines                                  1
under                                  2
§                                      2
include                                1
and                                    2
further                                1
that                                   1
involved                               1
promote                                1
maximum                                1
crime                                  2
31                                     1
reporting                              1
years                                  2
foreign                                1
interstate                             2
killed                                 1
can                                    1
1957                                   1
1956                                   1
purposes                               1
18                                     2
use                                    1
1952                                   1
well                                   1
applicable                             1
requirements                           1
commerce                               1
was                                    1
laundering                             1
20                                     1
chapter                                1
title                                  1
life                                   1
distribute                             1
carrying                               1
and/or                                 1
if                                     3
increases                              1
—                                      1
money                                  1
offense                                2
activity                               5
mail                                   1
imprisonment                           2
is                                     4
with                                   1
five                                   1
it                                     1
violence                               2
3571                                   1
c                                      1
illegal                                1
a                                      2
establish                              1
imposed                                1
established                            1
as                                     2
provides                               1
the                                   12
in                                     1
intent                                 1
up                                     1
term                                   1
statutes                               1
an                                     2
53                                     1
act                                    3

Totals:                     88       148
