Token                          Frequency
-----------------------------  ---------
different                              1
wells                                  1
kenneth                                1
b                                      1
identify                               1
lead                                   1
m                                      1
the                                    5
in                                     1
and                                    2
investigations                         1
of                                     2
authors                                1
paul                                   1
covert                                 1
basic                                  1
criminal                               1
book                                   1
participant                            1
several                                1
weston                                 1
types                                  2
informants                             2
accomplice/witness                     1

Totals:                     24        32
