Token                          Frequency
-----------------------------  ---------
does                                   1
to                                     2
accomplices                            1
unrecorded                             1
or                                     2
a                                      1
disbursements                          1
self                                   1
the                                    1
director                               1
and                                    1
not                                    1
disbursed                              1
record                                 1
officer                                1
cash                                   2
payments                               1
directly                               1
unauthorized                           1
employee                               1
causes                                 1
be                                     1

Totals:                     22        25
