Token                          Frequency
-----------------------------  ---------
person                                 2
using                                  2
birth                                  1
appear                                 1
for                                    3
yield                                  1
verify                                 1
no                                     1
court                                  1
people                                 1
of                                     3
asks                                   1
social                                 1
only                                   1
on                                     1
says                                   1
2011                                   1
fraudster                              1
unpaid                                 1
information                            3
reported                               1
gag                                    2
or                                     3
number                                 3
calls                                  2
now                                    1
innocence                              1
small                                  1
theft                                  1
caller                                 4
common                                 1
made                                   1
data                                   1
line                                   1
states                                 1
date                                   1
claiming                               2
identity                               2
personal                               1
normally                               1
protests                               1
license                                1
jury                                   1
end                                    1
steal                                  1
a                                      6
additional                             1
having                                 1
confirm                                1
to                                     8
warrant                                1
transactions                           1
phone                                  1
individual                             4
provide                                1
being                                  1
by                                     1
since                                  1
consumer                               1
fraud                                  2
been                                   1
has                                    2
must                                   1
seeks                                  1
amount                                 1
pretext                                2
personnel                              1
would                                  1
his                                    2
when                                   1
tickets                                1
be                                     4
financial                              1
so                                     1
and                                    2
that                                   4
failure                                1
called                                 1
whom                                   1
due                                    1
examiners                              1
example                                1
can                                    2
have                                   1
way                                    1
security                               1
1.1761                                 1
released                               1
duty                                   1
driver                                 1
outstanding                            1
all                                    1
individuals                            1
with                                   1
is                                     3
mistake                                2
it                                     1
the                                   13
photo                                  1
in                                     1
needed                                 1
ruse                                   2
manual                                 1
identification                         1
an                                     2
there                                  2

Totals:                    106       170
