Token                          Frequency
-----------------------------  ---------
methods                                2
to                                     6
goings                                 1
using                                  1
for                                    2
otherwise                              1
transportation                         1
managing                               1
used                                   1
where                                  1
people                                 1
expenses                               2
related                                1
balance                                1
of                                     6
cover                                  1
suspicion                              1
are                                    1
hide                                   1
criminal                               1
three                                  1
on                                     1
place                                  1
be                                     3
reported                               2
undue                                  1
or                                     1
revenues                               2
launder                                3
enterprise                             2
and                                    5
not                                    1
assets                                 1
that                                   1
comings                                1
funds                                  2
will                                   1
known                                  1
delivery                               1
commonly                               1
filter                                 1
large                                  1
does                                   1
can                                    3
organizing                             1
legitimate                             4
one                                    1
easily                                 1
most                                   2
way                                    1
from                                   1
through                                2
business                               6
effective                              1
laundering                             2
because                                1
numbers                                1
money                                  3
placed                                 1
sheet                                  1
activity                               3
comm                                   1
safe                                   1
is                                     1
it                                     1
attributed                             1
illegal                                3
a                                      8
into                                   1
as                                     1
provides                               2
front                                  4
the                                    7
addition                               1
in                                     1
arouse                                 1
overstatement                          2
very                                   1

Totals:                     78       140
